Title,Authors,Publication Date,Journal,Citation Info,Content Type,Article URL,PDF URL,DOI,Page Number,Search Topic
"Associations between grip strength, brain structure, and mental health in > 40,000 participants from the UK Biobank","Rongtao Jiang, Margaret L. Westwater, Stephanie Noble, Matthew Rosenblatt, Wei Dai, Shile Qi, Jing Sui, Vince D. Calhoun and Dustin Scheinost",9 September 2022,BMC Medicine,2022 20:286,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02490-2,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-022-02490-2.pdf,10.1186/s12916-022-02490-2,1,mental health
Assessing causal links between age at menarche and adolescent mental health: a Mendelian randomisation study,"Adrian Dahl Askelund, Robyn E. Wootton, Fartein A. Torvik, Rebecca B. Lawn, Helga Ask, Elizabeth C. Corfield, Maria C. Magnus, Ted Reichborn-Kjennerud, Per M. Magnus, Ole A. Andreassen, Camilla Stoltenberg, George Davey Smith, Neil M. Davies, Alexandra Havdahl and Laurie J. Hannigan",12 April 2024,BMC Medicine,2024 22:155,REGISTERED REPORT,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-024-03361-8,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-024-03361-8.pdf,10.1186/s12916-024-03361-8,1,mental health
"Prevention of mental disorders: evidence, challenges and opportunities",Felice N Jacka and Nicola J Reavley,9 May 2014,BMC Medicine,2014 12:75,Editorial,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-12-75,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-12-75.pdf,10.1186/1741-7015-12-75,1,mental health
Mental disorders as risk factors: assessing the evidence for the Global Burden of Disease Study,"Amanda J Baxter, Fiona J Charlson, Adele J Somerville and Harvey A Whiteford",16 December 2011,BMC Medicine,2011 9:134,Debate,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-134,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-9-134.pdf,10.1186/1741-7015-9-134,1,mental health
Strengthening mental health systems in low- and middle-income countries: the Emerald programme,"Maya Semrau, Sara Evans-Lacko, Atalay Alem, Jose Luis Ayuso-Mateos, Dan Chisholm, Oye Gureje, Charlotte Hanlon, Mark Jordans, Fred Kigozi, Heidi Lempp, Crick Lund, Inge Petersen, Rahul Shidhaye and Graham Thornicroft",10 April 2015,BMC Medicine,2015 13:79,Correspondence,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-015-0309-4,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-015-0309-4.pdf,10.1186/s12916-015-0309-4,1,mental health
"Mental illness related disparities in diabetes prevalence, quality of care and outcomes: a population-based longitudinal study","Qun Mai, C D'Arcy J Holman, Frank M Sanfilippo, Jonathan D Emery and David B Preen",1 November 2011,BMC Medicine,2011 9:118,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-118,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-9-118.pdf,10.1186/1741-7015-9-118,1,mental health
Individual and combined associations between cardiorespiratory fitness and grip strength with common mental disorders: a prospective cohort study in the UK Biobank,"Aaron A. Kandola, David P. J. Osborn, Brendon Stubbs, Karmel W. Choi and Joseph F. Hayes",11 November 2020,BMC Medicine,2020 18:303,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01782-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-01782-9.pdf,10.1186/s12916-020-01782-9,1,mental health
Association of breastfeeding with mental disorders in mother and child: a systematic review and meta-analysis,"Polina Bugaeva, Inna Arkusha, Rinat Bikaev, Igor Kamenskiy, Aleksandra Pokrovskaya, Yasmin El-Taravi, Valeria Caso, Alla Avedisova, Derek K. Chu, Jon Genuneit, Gabriel Torbahn, Timothy R. Nicholson, Dina Baimukhambetova, Aigun Mursalova, Anastasia Kolotilina, Svetlana Gadetskaya…",16 October 2023,BMC Medicine,2023 21:393,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-03071-7,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-03071-7.pdf,10.1186/s12916-023-03071-7,1,mental health
Green sanctuaries: residential green and garden space and the natural environment mitigate mental disorders risk of diabetic patients,"Erxu Xue, Jianhui Zhao, Jingyu Ye, Jingjie Wu, Dandan Chen, Jing Shao, Xue Li and Zhihong Ye",21 January 2025,BMC Medicine,2025 23:31,Research,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-03864-y,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-025-03864-y.pdf,10.1186/s12916-025-03864-y,1,mental health
Longitudinal risk of maternal hospitalization for mental illness following preterm birth,"Gabriel Côté-Corriveau, Gilles Paradis, Thuy Mai Luu, Aimina Ayoub, Marianne Bilodeau-Bertrand and Nathalie Auger",17 November 2022,BMC Medicine,2022 20:447,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02659-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-022-02659-9.pdf,10.1186/s12916-022-02659-9,1,mental health
Early life programming as a target for prevention of child and adolescent mental disorders,"Andrew James Lewis, Megan Galbally, Tara Gannon and Christos Symeonides",24 February 2014,BMC Medicine,2014 12:33,Review,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-12-33,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-12-33.pdf,10.1186/1741-7015-12-33,2,mental health
"Using flawed, uncertain, proximate and sparse (FUPS) data in the context of complexity: learning from the case of child mental health",Miranda Wolpert and Harry Rutter,18 June 2018,BMC Medicine,2018 16:82,Opinion,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-018-1079-6,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-018-1079-6.pdf,10.1186/s12916-018-1079-6,2,mental health
The cross-national epidemiology of social anxiety disorder: Data from the World Mental Health Survey Initiative,"Dan J. Stein, Carmen C. W. Lim, Annelieke M. Roest, Peter de Jonge, Sergio Aguilar-Gaxiola, Ali Al-Hamzawi, Jordi Alonso, Corina Benjet, Evelyn J. Bromet, Ronny Bruffaerts, Giovanni de Girolamo, Silvia Florescu, Oye Gureje, Josep Maria Haro, Meredith G. Harris, Yanling He…",31 July 2017,BMC Medicine,2017 15:143,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-017-0889-2,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-017-0889-2.pdf,10.1186/s12916-017-0889-2,2,mental health
Childhood generalized specific phobia as an early marker of internalizing psychopathology across the lifespan: results from the World Mental Health Surveys,"Ymkje Anna de Vries, Ali Al-Hamzawi, Jordi Alonso, Guilherme Borges, Ronny Bruffaerts, Brendan Bunting, José Miguel Caldas-de-Almeida, Alfredo H. Cia, Giovanni De Girolamo, Rumyana V. Dinolova, Oluyomi Esan, Silvia Florescu, Oye Gureje, Josep Maria Haro, Chiyi Hu, Elie G. Karam…",24 May 2019,BMC Medicine,2019 17:101,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-019-1328-3,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-019-1328-3.pdf,10.1186/s12916-019-1328-3,2,mental health
"Syrian refugees in Greece: experience with violence, mental health status, and access to information during the journey and while in Greece","Jihane Ben Farhat, Karl Blanchet, Pia Juul Bjertrup, Apostolos Veizis, Clément Perrin, Rebecca M. Coulborn, Philippe Mayaud and Sandra Cohuet",13 March 2018,BMC Medicine,2018 16:40,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-018-1028-4,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-018-1028-4.pdf,10.1186/s12916-018-1028-4,2,mental health
The impact of multimorbidity on adult physical and mental health in low- and middle-income countries: what does the study on global ageing and adult health (SAGE) reveal?,"Perianayagam Arokiasamy, Uttamacharya Uttamacharya, Kshipra Jain, Richard Berko Biritwum, Alfred Edwin Yawson, Fan Wu, Yanfei Guo, Tamara Maximova, Betty Manrique Espinoza, Aarón Salinas Rodríguez, Sara Afshar, Sanghamitra Pati, Gillian Ice, Sube Banerjee, Melissa A. Liebert, James Josh Snodgrass…",3 August 2015,BMC Medicine,2015 13:178,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-015-0402-8,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-015-0402-8.pdf,10.1186/s12916-015-0402-8,2,mental health
Visual impairment is associated with physical and mental comorbidities in older adults: a cross-sectional study,"Helen Court, Gary McLean, Bruce Guthrie, Stewart W Mercer and Daniel J Smith",17 October 2014,BMC Medicine,2014 12:181,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-014-0181-7,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-014-0181-7.pdf,10.1186/s12916-014-0181-7,2,mental health
