Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F),Lake_Visible,LES_Cloud_Exist
65,84,60,0,0,m,M,m,m,10,991.6,1014.3,1014.6,0,NC,NC,N,N
61,86,57,3,200,m,M,m,m,10,992.2,1015.1,1015.2,0,NC,NC,N,N
58,93,56,3,250,m,M,m,m,10,992.5,1015.5,1015.6,0,NC,NC,N,N
55,93,54,0,0,m,M,m,m,2,993.2,M,1016.3,m,NC,NC,N,N
54,93,52,3,210,m,M,m,m,2,993.9,M,1016.9,m,NC,NC,N,N
52,93,50,0,0,m,M,m,m,10,994.5,M,1017.6,m,NC,NC,N,N
51,92,49,0,0,m,M,m,m,10,995.2,1018.2,1018.3,0,NC,NC,Y,N
55,89,52,0,0,m,M,m,m,10,995.9,1018.8,1019,0,NC,NC,Y,N
66,60,52,0,0,m,M,m,m,10,996.5,1019.3,1019.6,0,NC,NC,Y,N
69,45,47,0,0,m,M,m,m,10,996.9,1019.8,1020,0,NC,NC,Y,N
72,35,43,3,20,m,M,m,m,10,996.9,1019.5,1020,0,NC,NC,Y,N
74,26,37,5,20,m,M,m,m,10,996.5,1019.2,1019.6,0,NC,NC,Y,N
75,26,38,0,0,m,M,m,m,10,995.9,1018.9,1019,0,NC,NC,Y,N
74,37,46,7,250,m,25000,m,m,10,995.5,1018.4,1018.6,0,NC,NC,Y,N
73,36,45,6,250,m,25000,m,m,10,995.5,1018.4,1018.6,0,NC,NC,Y,N
73,33,43,6,310,m,25000,m,m,10,995.2,1018.1,1018.3,0,NC,NC,Y,N
72,36,44,5,310,m,25000,m,m,10,994.5,1017.6,1017.6,0,NC,NC,Y,N
69,38,43,0,0,m,25000,m,m,10,994.2,1017.3,1017.3,0,NC,NC,N,N
61,62,48,0,0,m,25000,m,m,10,994.2,1017.5,1017.3,0,NC,NC,N,N
60,64,48,0,0,m,25000,m,m,10,994.9,1017.9,1017.9,0,NC,NC,N,N
56,74,48,0,0,m,25000,m,m,10,994.9,1017.8,1017.9,0,NC,NC,N,N
55,74,47,0,0,m,25000,m,m,10,994.9,1017.8,1017.9,0,NC,NC,N,N
55,77,48,0,0,m,M,m,m,10,994.5,1017.5,1017.6,0,NC,NC,N,N
55,74,47,0,0,m,M,m,m,10,993.9,1016.9,1016.9,0,NC,NC,N,N
55,74,47,6,130,m,7500,m,m,10,993.5,1016.5,1016.6,0,NC,NC,N,N
56,64,44,7,120,m,M,m,m,10,993.2,1015.9,1016.3,0,NC,NC,N,N
57,59,43,7,100,m,M,m,m,10,992.5,1015.5,1015.6,0,NC,NC,N,N
57,59,43,6,110,m,3800,9000,m,10,992.9,1015.6,1015.9,0,NC,NC,N,N
58,59,44,5,110,m,7000,8500,m,10,992.5,1015.5,1015.6,0,NC,NC,N,N
57,63,45,3,130,m,7000,8500,m,10,992.5,1015.4,1015.6,0,NC,NC,N,N
55,71,46,5,140,m,M,m,m,10,992.2,1015.2,1015.2,0,NC,NC,Y,N
60,69,50,5,130,m,1200,m,m,10,992.5,1015.4,1015.6,0,NC,NC,Y,N
65,72,56,6,150,m,1900,m,m,10,992.2,1015.1,1015.2,0,NC,NC,Y,N
71,75,63,11,170,m,900,m,m,8,991.6,1014.3,1014.6,0,NC,NC,Y,N
71,81,65,13,190,m,900,1300,m,6,991.6,1014.2,1014.6,0,NC,NC,Y,N
70,84,65,16,200,23,700,m,m,5,991.9,1014.6,1014.9,0,NC,NC,Y,N
70,84,65,15,200,25,700,1100,m,6,991.6,1014.5,1014.6,0,NC,NC,Y,N
70,88,66,14,190,21,700,m,m,2,990.6,M,1013.5,m,NC,NC,Y,N
71,84,66,13,200,m,700,m,m,8,990.2,1013.2,1013.2,0,NC,NC,Y,N
72,78,64,14,190,m,700,1400,m,10,989.6,M,1012.5,m,NC,NC,Y,N
71,81,65,13,200,m,900,1900,2600,10,989.9,1012.6,1012.9,0,NC,NC,Y,N
70,81,64,8,170,m,900,1400,6000,10,989.6,1012.5,1012.5,0,NC,NC,N,N
69,83,64,0,0,m,2100,6500,m,10,990.2,1013.2,1013.2,0,NC,NC,N,N
69,83,64,3,100,m,2300,3000,3800,10,990.2,1012.9,1013.2,0,NC,NC,N,N
68,87,64,6,120,m,3900,6000,m,10,990.2,1012.9,1013.2,0,NC,NC,N,N
69,89,66,6,130,m,2700,5500,m,9,989.9,1012.6,1012.9,0.08,NC,NC,N,N
68,88,64,3,110,m,4600,5500,m,7,990.2,M,1013.2,m,NC,NC,N,N
70,82,64,10,200,m,1300,1700,4100,8,990.2,M,1013.2,0,NC,NC,N,N
68,88,64,8,310,m,1500,2400,3300,2,990.9,M,1013.9,0.22,NC,NC,N,N
66,93,64,7,120,m,10000,m,m,9,989.6,1012.3,1012.5,0.3,NC,NC,N,N
66,93,64,7,190,m,700,9000,m,10,990.2,M,1013.2,0,NC,NC,N,N
67,90,64,10,220,m,600,1000,8000,8,990.6,1013.2,1013.5,0,NC,NC,N,N
66,93,64,7,220,m,4000,5500,6500,8,990.6,1013.3,1013.5,0,NC,NC,N,N
66,89,63,8,210,m,5500,25000,m,10,990.9,1013.8,1013.9,0,NC,NC,N,N
67,87,63,10,200,m,1200,2500,6000,9,991.6,1014.2,1014.6,0,NC,NC,Y,N
68,87,64,5,250,m,4500,6500,10000,10,991.9,1014.7,1014.9,0,NC,NC,Y,N
69,80,63,11,210,m,3200,6500,10000,10,992.5,1015.3,1015.6,0,NC,NC,Y,N
69,80,63,10,210,m,3000,6500,10000,10,992.9,1015.6,1015.9,0,NC,NC,Y,N
71,78,64,8,200,m,6500,10000,13000,10,992.9,1015.6,1015.9,0,NC,NC,Y,N
72,76,64,5,210,m,6500,12000,14000,10,992.5,1015.2,1015.6,0,NC,NC,Y,N
73,75,65,6,170,m,8000,12000,18000,10,992.2,1015,1015.2,0,NC,NC,Y,N
73,73,64,10,220,m,12000,18000,24000,10,992.5,1015.4,1015.6,0,NC,NC,Y,N
70,81,64,7,230,m,7000,18000,24000,10,992.9,1015.6,1015.9,0,NC,NC,Y,N
69,83,64,7,300,m,5500,7000,20000,10,993.5,1016.2,1016.6,0,NC,NC,Y,N
70,78,63,10,350,m,1100,1400,5500,10,993.2,1015.9,1016.3,0,NC,NC,Y,N
69,83,64,5,40,m,7000,11000,17000,10,992.5,1015.3,1015.6,0,NC,NC,N,N
69,83,64,6,50,m,4900,11000,m,10,992.9,1015.5,1015.9,0,NC,NC,N,N
69,83,64,7,70,m,3400,11000,m,10,992.9,1015.6,1015.9,0,NC,NC,N,N
68,87,64,5,70,m,12000,m,m,10,992.9,1015.7,1015.9,0,NC,NC,N,N
68,87,64,3,90,m,12000,m,m,10,992.9,1015.7,1015.9,0,NC,NC,N,N
69,86,65,5,100,m,5500,m,m,10,992.9,1015.7,1015.9,0,NC,NC,N,N
69,86,65,9,130,m,4400,m,m,8,992.5,1015.2,1015.6,0,NC,NC,N,N
70,82,64,6,100,m,700,2800,8500,6,992.5,M,1015.6,0.03,NC,NC,N,N
66,88,63,9,80,m,700,2600,9000,1,991.9,M,1014.9,0.19,NC,NC,N,N
65,90,62,8,100,m,500,m,m,6,991.9,1014.6,1014.9,0,NC,NC,N,N
65,90,62,7,90,m,500,m,m,6,992.2,1014.9,1015.2,0,NC,NC,N,N
64,89,61,9,110,m,500,m,m,6,991.9,1014.7,1014.9,0,NC,NC,N,N
64,93,62,7,100,m,500,m,m,7,991.9,1014.5,1014.9,0,NC,NC,N,N
65,90,62,8,110,m,500,m,m,8,991.9,1014.7,1014.9,0,NC,NC,Y,N
65,93,63,7,100,m,500,m,m,9,991.9,1014.6,1014.9,0,NC,NC,Y,N
66,89,63,10,110,m,500,m,m,10,991.9,1014.5,1014.9,0,NC,NC,Y,N
67,87,63,9,120,m,900,m,m,10,991.6,1014.2,1014.6,0,NC,NC,Y,N
69,86,65,11,130,m,900,m,m,10,991.2,1013.9,1014.2,0,NC,NC,Y,N
71,81,65,14,150,m,1400,1900,2600,10,991.2,1013.9,1014.2,0,NC,NC,Y,N
72,81,66,10,150,m,1900,m,m,9,990.2,1013,1013.2,0,NC,NC,Y,N
74,81,68,11,130,m,1100,1600,m,10,988.9,1011.6,1011.9,0,NC,NC,Y,N
74,81,68,8,150,m,1000,1500,m,7,988.6,1011.2,1011.5,0,NC,NC,Y,N
75,78,68,7,120,m,1400,2000,m,7,988.6,1011.2,1011.5,0,NC,NC,Y,N
74,81,68,6,90,m,1300,2000,22000,7,987.9,1010.5,1010.8,0,NC,NC,Y,N
72,84,67,9,110,m,2700,4000,7500,10,987.6,1010.2,1010.5,0,NC,NC,N,N
71,84,66,10,120,m,4800,10000,12000,10,987.2,1009.7,1010.2,0,NC,NC,N,N
72,83,66,7,170,m,2500,5500,11000,7,987.6,M,1010.5,m,NC,NC,N,N
72,83,66,7,160,m,2100,4400,11000,10,986.9,M,1009.8,m,NC,NC,N,N
70,87,66,11,180,m,2300,m,m,10,985.9,1008.6,1008.8,0,NC,NC,N,N
69,86,65,13,180,m,1400,m,m,10,985.6,1008.3,1008.5,0,NC,NC,N,N
67,90,64,13,180,m,700,m,m,10,985.9,1008.5,1008.8,0,NC,NC,N,N
68,87,64,11,180,m,700,m,m,10,984.9,1007.6,1007.8,0,NC,NC,N,N
68,89,65,13,190,m,500,m,m,10,984.9,1007.4,1007.8,0,NC,NC,N,N
68,87,64,11,190,m,900,1600,6000,10,984.6,1007.1,1007.5,0,NC,NC,N,N
68,87,64,15,180,20,700,1200,3900,10,983.9,1006.3,1006.8,0,NC,NC,N,N
68,88,64,13,180,m,900,1600,3700,10,983.6,M,1006.4,m,NC,NC,N,N
66,89,63,11,220,m,1000,1400,2400,10,983.6,1006.1,1006.4,0.03,NC,NC,N,N
59,89,56,15,260,21,800,1900,m,10,984.2,1006.8,1007.1,0.03,NC,NC,Y,Y
59,87,55,8,240,m,1000,2300,m,10,984.2,M,1007.1,m,NC,NC,Y,Y
57,87,54,9,250,m,800,1300,m,5,984.2,M,1007.1,m,NC,NC,Y,Y
56,86,52,7,260,m,1400,2300,3000,3,984.2,1006.8,1007.1,0.04,NC,NC,Y,Y
55,87,52,7,270,m,1200,1900,3400,4,984.6,M,1007.5,0.11,NC,NC,Y,Y
56,83,51,7,230,m,1400,4400,5500,10,984.6,1007.5,1007.5,0.02,NC,NC,Y,Y
57,80,51,0,0,m,5000,m,m,10,983.6,1006.2,1006.4,0,NC,NC,Y,N
59,76,52,6,200,m,1400,2800,6500,10,983.2,M,1006.1,m,NC,NC,Y,N
61,69,51,8,230,m,1400,2200,9000,10,982.6,1005.2,1005.4,0,NC,NC,Y,N
61,59,47,8,250,m,2000,3200,3900,10,982.6,1005.1,1005.4,0,NC,NC,Y,N
61,51,43,9,230,m,4000,15000,m,10,982.9,1005.5,1005.8,0,NC,NC,Y,N
57,59,43,6,230,m,4000,15000,m,10,983.2,1006,1006.1,0,NC,NC,N,N
54,74,46,0,0,m,7000,m,m,10,982.9,1005.9,1005.8,0,NC,NC,N,N
56,71,47,3,230,m,7000,m,m,10,982.9,1005.8,1005.8,0,NC,NC,N,N
56,74,48,3,190,m,7000,8500,m,10,982.9,1005.7,1005.8,0,NC,NC,N,N
56,77,49,6,220,m,4100,5000,8000,10,982.9,1005.6,1005.8,0,NC,NC,N,N
56,71,47,15,250,22,2100,2700,9000,10,982.9,1005.9,1005.8,0,NC,NC,N,N
55,71,46,9,260,17,2200,2900,4600,10,982.9,1005.7,1005.8,0,NC,NC,N,N
55,68,45,11,250,17,2300,3800,8000,10,982.6,1005.3,1005.4,0,NC,NC,N,N
54,69,44,10,240,m,2700,6000,8500,10,982.2,1005.2,1005.1,0,NC,NC,N,N
54,71,45,13,240,18,2300,4600,5500,10,981.9,1004.8,1004.7,0,NC,NC,N,N
53,66,42,9,260,22,6000,7000,m,10,982.2,1005,1005.1,0,NC,NC,N,N
50,86,46,7,40,m,1000,2300,2700,7,982.6,1005.4,1005.4,0.14,NC,NC,N,N
50,86,46,5,70,m,2500,3200,5000,10,982.9,1005.9,1005.8,0.01,NC,NC,N,N
54,77,47,10,280,17,2500,3000,3500,10,983.2,1006.1,1006.1,0,NC,NC,Y,N
55,71,46,13,270,m,1900,2700,6000,10,983.9,M,1006.8,0,NC,NC,Y,N
54,87,50,11,280,m,1400,2100,5000,4,984.2,M,1007.1,0.06,NC,NC,Y,Y
54,87,50,15,320,21,1200,1700,3700,2,985.6,M,1008.5,m,NC,NC,Y,Y
55,76,48,11,310,m,2600,4100,5000,10,986.6,M,1009.5,0.02,NC,NC,Y,Y
58,61,45,15,320,26,2400,3300,m,10,987.9,1010.8,1010.8,0,NC,NC,Y,N
60,57,45,18,310,26,3200,m,m,10,988.6,1011.7,1011.5,0,NC,NC,Y,N
61,59,46,15,290,22,2800,m,m,10,989.6,M,1012.5,m,NC,NC,Y,N
60,57,45,13,290,m,2800,m,m,10,990.6,1013.4,1013.5,0,NC,NC,Y,N
61,57,46,14,270,17,3500,m,m,10,990.9,1014.1,1013.9,0,NC,NC,Y,N
61,55,45,13,290,m,4000,6000,m,10,991.9,1014.8,1014.9,0,NC,NC,Y,N
59,59,45,8,260,m,6000,m,m,10,992.2,1015.5,1015.2,0,NC,NC,N,N
53,76,46,5,230,m,6000,m,m,10,992.9,1016.1,1015.9,0,NC,NC,N,N
51,82,46,3,130,m,5000,m,m,10,993.5,1016.8,1016.6,0,NC,NC,N,N
49,86,45,0,0,m,5000,m,m,10,994.5,1017.7,1017.6,0,NC,NC,N,N
49,83,44,3,140,m,M,m,m,10,995.2,1018.4,1018.3,0,NC,NC,N,N
48,86,44,5,130,m,M,m,m,10,995.9,1019.1,1019,0,46,NC,N,N
48,86,44,3,150,m,M,m,m,10,996.2,1019.5,1019.3,0,NC,NC,N,N
49,83,44,0,0,m,M,m,m,10,996.5,1019.8,1019.6,0,NC,NC,N,N
48,86,44,0,0,m,M,m,m,10,996.9,1020.3,1020,0,NC,NC,N,N
52,82,47,7,160,m,M,m,m,10,996.9,1020.2,1020,0,NC,NC,N,N
48,89,45,0,0,m,M,m,m,10,997.5,1020.7,1020.7,0,NC,NC,N,N
46,85,42,0,0,m,M,m,m,10,998.2,1021.4,1021.3,0,NC,NC,N,N
46,85,42,7,130,m,M,m,m,10,998.5,1021.8,1021.7,0,42,NC,N,N
44,85,40,6,120,m,M,m,m,10,998.9,1022.4,1022,0,41,NC,Y,N
49,79,43,5,120,m,M,m,m,10,999.5,1022.9,1022.7,0,NC,NC,Y,N
55,68,45,7,140,m,M,m,m,10,999.9,1023.2,1023,0,NC,NC,Y,N
59,64,47,8,140,m,25000,m,m,10,1000.2,1023.4,1023.4,0,NC,NC,Y,N
63,55,47,9,160,m,25000,m,m,10,1000.2,1023.3,1023.4,0,NC,NC,Y,N
67,50,48,7,150,m,25000,m,m,10,999.5,1022.9,1022.7,0,NC,NC,Y,N
68,52,50,7,210,m,25000,m,m,10,999.2,1022.4,1022.4,0,NC,NC,Y,N
67,58,52,8,240,m,25000,m,m,10,999.2,1022.3,1022.4,0,NC,NC,Y,N
68,56,52,9,230,m,25000,m,m,10,998.9,1022,1022,0,NC,NC,Y,N
68,56,52,8,190,m,25000,m,m,10,998.9,1022.1,1022,0,NC,NC,Y,N
68,52,50,7,200,m,25000,m,m,10,998.5,1021.8,1021.7,0,NC,NC,Y,N
64,62,51,6,200,m,25000,m,m,10,998.9,1022.1,1022,0,NC,NC,N,N
59,72,50,0,0,m,25000,m,m,10,998.9,1022.3,1022,0,NC,NC,N,N
56,80,50,5,140,m,25000,m,m,10,999.2,1022.5,1022.4,0,NC,NC,N,N
56,80,50,7,130,m,25000,m,m,10,999.5,1022.6,1022.7,0,NC,NC,N,N
56,77,49,9,140,m,25000,m,m,10,999.5,1022.8,1022.7,0,NC,NC,N,N
58,69,48,9,140,m,M,m,m,10,999.5,1022.7,1022.7,0,NC,NC,N,N
57,68,47,7,150,m,M,m,m,10,999.5,1022.7,1022.7,0,NC,NC,N,N
55,74,47,7,140,m,M,m,m,10,999.9,1022.9,1023,0,NC,NC,N,N
53,76,46,8,140,m,M,m,m,10,999.9,1023,1023,0,NC,NC,N,N
51,79,45,6,130,m,M,m,m,10,1000.2,1023.2,1023.4,0,NC,NC,N,N
50,79,44,3,110,m,M,m,m,10,1000.5,1023.7,1023.7,0,NC,NC,N,N
49,83,44,8,130,m,M,m,m,10,1001.2,1024.3,1024.4,0,NC,NC,N,N
48,82,43,3,110,m,M,m,m,10,1001.9,1025,1025.1,0,NC,NC,N,N
47,83,42,5,120,m,M,m,m,10,1001.9,1025.3,1025.1,0,45,NC,Y,Y
51,79,45,6,140,m,M,m,m,10,1002.5,1025.8,1025.7,0,NC,NC,Y,Y
57,66,46,5,150,m,M,m,m,10,1002.5,1025.8,1025.7,0,NC,NC,Y,N
62,62,49,5,180,m,M,m,m,10,1002.5,1025.6,1025.7,0,NC,NC,Y,N
66,52,48,8,180,m,M,m,m,10,1002.2,1025.4,1025.4,0,NC,NC,Y,N
67,43,44,10,180,m,25000,m,m,10,1002.2,1025.5,1025.4,0,NC,NC,Y,N
68,42,44,9,220,m,25000,m,m,10,1001.5,1024.6,1024.7,0,NC,NC,Y,N
68,45,46,8,220,m,M,m,m,10,1000.5,1023.8,1023.7,0,NC,NC,Y,N
67,48,47,7,240,m,M,m,m,10,1000.2,1023.5,1023.4,0,NC,NC,Y,N
67,50,48,3,230,m,M,m,m,10,999.9,1023,1023,0,NC,NC,Y,N
66,54,49,5,280,m,M,m,m,10,999.5,1022.8,1022.7,0,NC,NC,Y,N
63,60,49,0,0,m,M,m,m,10,999.2,1022.3,1022.4,0,NC,NC,N,N
57,77,50,0,0,m,25000,m,m,10,999.2,1022.4,1022.4,0,NC,NC,N,N
55,83,50,0,0,m,M,m,m,10,999.5,1022.9,1022.7,0,NC,NC,N,N
52,86,48,0,0,m,M,m,m,10,999.5,1023,1022.7,0,NC,NC,N,N
53,82,48,0,0,m,M,m,m,10,999.9,1023,1023,0,NC,NC,N,N
51,85,47,5,110,m,M,m,m,10,999.9,1023,1023,0,NC,NC,N,N
50,79,44,3,110,m,M,m,m,10,999.9,1022.8,1023,0,NC,NC,N,N
48,82,43,0,0,m,M,m,m,10,999.5,1022.9,1022.7,0,NC,NC,N,N
47,83,42,0,0,m,M,m,m,10,999.5,1022.6,1022.7,0,NC,NC,N,N
47,86,43,3,130,m,M,m,m,10,998.9,1022.2,1022,0,NC,NC,N,N
47,79,41,0,0,m,M,m,m,10,999.2,1022.4,1022.4,0,NC,NC,N,N
45,85,41,3,80,m,M,m,m,10,999.5,1022.7,1022.7,0,NC,NC,N,N
44,82,39,0,0,m,M,m,m,10,999.5,1022.8,1022.7,0,NC,NC,N,N
43,88,40,0,0,m,M,m,m,7,999.5,1023,1022.7,0,NC,NC,Y,Y
47,83,42,0,0,m,M,m,m,10,999.9,1023.2,1023,0,NC,NC,Y,Y
52,80,46,3,110,m,M,m,m,10,999.9,1023.3,1023,0,NC,NC,Y,Y
59,69,49,0,0,m,M,m,m,10,999.9,1023.2,1023,0,NC,NC,Y,Y
66,56,50,6,90,m,M,m,m,10,999.2,1022.3,1022.4,0,NC,NC,Y,N
71,36,43,5,130,m,M,m,m,10,999.2,1022.3,1022.4,0,NC,NC,Y,N
72,35,43,7,150,m,M,m,m,10,998.5,1021.7,1021.7,0,NC,NC,Y,N
72,34,42,7,110,m,20000,m,m,10,997.5,1020.8,1020.7,0,NC,NC,Y,N
72,39,46,6,240,m,22000,m,m,10,997.2,1020.3,1020.3,0,NC,NC,Y,N
71,40,46,6,240,m,23000,m,m,10,996.9,1019.9,1020,0,NC,NC,Y,N
70,43,47,0,0,m,23000,m,m,10,996.5,1019.8,1019.6,0,NC,NC,Y,N
63,62,50,0,0,m,25000,m,m,10,996.9,1020,1020,0,NC,NC,N,N
58,74,50,0,0,m,20000,m,m,10,996.5,1020,1019.6,0,NC,NC,N,N
54,83,49,0,0,m,20000,m,m,10,996.5,1019.9,1019.6,0,NC,NC,N,N
52,86,48,0,0,m,M,m,m,10,996.9,1020,1020,0,NC,NC,N,N
53,79,47,0,0,m,M,m,m,10,996.9,1019.9,1020,0,NC,NC,N,N
52,80,46,3,120,m,M,m,m,10,996.2,1019.3,1019.3,0,NC,NC,N,N
50,82,45,5,110,m,M,m,m,10,996.2,1019.1,1019.3,0,NC,NC,N,N
50,79,44,7,120,m,M,m,m,10,995.9,1019,1019,0,NC,NC,N,N
51,76,44,3,120,m,M,m,m,10,996.2,1019.4,1019.3,0,NC,NC,N,N
48,79,42,3,100,m,M,m,m,10,996.2,1019.1,1019.3,0,NC,NC,N,N
49,77,42,0,0,m,M,m,m,10,996.5,1019.6,1019.6,0,NC,NC,N,N
46,82,41,0,0,m,M,m,m,10,996.9,1020,1020,0,NC,NC,N,N
46,82,41,0,0,m,M,m,m,10,997.2,1020.5,1020.3,0,NC,NC,N,N
45,82,40,0,0,m,25000,m,m,10,997.5,1020.7,1020.7,0,NC,NC,Y,N
49,79,43,5,110,m,25000,m,m,10,997.5,1021,1020.7,0,NC,NC,Y,N
55,66,44,7,110,m,25000,m,m,10,997.2,1020.5,1020.3,0,NC,NC,Y,N
62,51,44,9,120,m,25000,m,m,10,997.2,1020.2,1020.3,0,NC,NC,Y,N
66,43,43,11,130,m,25000,m,m,10,996.9,1020,1020,0,NC,NC,Y,N
69,41,45,8,140,m,25000,m,m,10,996.9,1020.1,1020,0,NC,NC,Y,N
70,39,44,7,150,m,25000,m,m,10,996.2,1019.4,1019.3,0,NC,NC,Y,N
71,36,43,3,80,m,27000,m,m,10,995.5,1018.6,1018.6,0,NC,NC,Y,N
71,36,43,5,170,m,27000,m,m,10,995.2,1018.1,1018.3,0,NC,NC,Y,N
71,31,39,9,130,m,27000,m,m,10,994.5,1017.4,1017.6,0,NC,NC,Y,N
69,29,36,8,120,m,27000,m,m,10,994.5,1017.7,1017.6,0,NC,NC,Y,N
67,35,39,0,0,m,25000,m,m,10,994.5,1017.5,1017.6,0,NC,NC,N,N
59,59,45,5,110,m,25000,m,m,10,994.2,1017.3,1017.3,0,NC,NC,N,N
57,59,43,6,110,m,25000,m,m,10,993.9,1017.1,1016.9,0,NC,NC,N,N
58,59,44,5,110,m,25000,m,m,10,994.2,1017.2,1017.3,0,NC,NC,N,N
55,66,44,0,0,m,25000,m,m,10,994.2,1017.1,1017.3,0,NC,NC,N,N
53,73,45,0,0,m,M,m,m,10,994.2,1017.3,1017.3,0,NC,NC,N,N
53,73,45,5,120,m,M,m,m,10,994.2,1017.2,1017.3,0,NC,NC,N,N
52,80,46,5,120,m,M,m,m,10,994.2,1017.1,1017.3,0,NC,NC,N,N
52,82,47,5,130,m,M,m,m,10,994.2,1017.1,1017.3,0,NC,NC,N,N
52,76,45,9,130,m,M,m,m,10,993.9,1016.9,1016.9,0,NC,NC,N,N
55,63,43,11,140,m,M,m,m,10,993.9,1016.8,1016.9,0,NC,NC,N,N
55,66,44,11,140,m,M,m,m,10,993.9,1016.9,1016.9,0,NC,NC,N,N
54,69,44,9,140,m,M,m,m,10,993.9,1016.9,1016.9,0,NC,NC,N,N
54,74,46,9,140,m,M,m,m,10,993.9,1016.9,1016.9,0,NC,NC,Y,N
56,74,48,9,130,m,M,m,m,10,993.9,1017.1,1016.9,0,NC,NC,Y,N
62,64,50,9,140,m,M,m,m,10,994.2,1017.3,1017.3,0,NC,NC,Y,N
68,56,52,9,150,m,4500,20000,m,10,994.2,1017.1,1017.3,0,NC,NC,Y,N
73,49,53,8,180,m,4500,15000,m,10,993.5,1016.5,1016.6,0,NC,NC,Y,N
75,46,53,18,190,25,20000,m,m,10,993.2,1016.2,1016.3,0,NC,NC,Y,N
75,47,54,20,200,29,4500,20000,m,10,993.2,1016,1016.3,0,NC,NC,Y,N
73,53,55,13,180,m,4700,9500,15000,10,992.9,1015.7,1015.9,0,NC,NC,Y,N
73,53,55,8,170,m,4700,10000,23000,10,992.2,1015.2,1015.2,0,NC,NC,Y,N
73,53,55,10,180,m,4600,10000,18000,10,992.2,1015.2,1015.2,0,NC,NC,Y,N
66,81,60,9,210,m,4600,7000,23000,10,993.2,1016.4,1016.3,0.01,NC,NC,Y,N
64,88,61,0,0,m,2700,3700,4700,2,993.9,M,1016.9,m,NC,NC,N,N
63,90,60,7,180,m,1000,6500,8500,5,994.2,1017.1,1017.3,0.14,NC,NC,N,N
63,93,61,3,180,m,600,1100,3100,6,994.5,M,1017.6,m,NC,NC,N,N
64,89,61,8,250,m,700,5500,20000,5,995.2,1018.3,1018.3,0,NC,NC,N,N
60,77,53,6,280,m,5500,20000,m,10,996.2,1019.1,1019.3,0,NC,NC,N,N
60,66,49,11,290,16,M,m,m,10,996.9,1019.7,1020,0,NC,NC,N,N
59,62,46,7,300,m,M,m,m,10,997.2,1020.2,1020.3,0,NC,NC,N,N
60,53,43,8,290,m,M,m,m,10,998.2,1021,1021.3,0,NC,NC,N,N
59,59,45,8,300,m,M,m,m,10,998.5,1021.6,1021.7,0,NC,NC,N,N
