"STN
Code",Name of Monitoring Location,Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max)
4930,P .S. CHINNAIAH PALEM,Wetland,ANDHRA PRADESH,24.0,30.0,5.8,8.0,6.8,8.2,460,1340,1.5,4.1,0.32,1.92,4,21,64,210
4924,PATATEKALLI CHERUVU,Wetland,ANDHRA PRADESH,22.0,32.0,3.5,8.5,6.9,8.6,271,53100,1.5,22.0,1.02,3.87,9,23,120,460
4915,PATHAKOTHA CHERUVU,Wetland,ANDHRA PRADESH,23.0,28.0,4.6,6.1,7.1,8.1,931,1702,1.8,3.0,0.42,2.94,180,629,430,1046
4928,PEDDA CHERUVU,Wetland,ANDHRA PRADESH,26.0,32.0,0.3,7.5,6.6,7.7,620,1450,1.9,54.0,1.96,6.09,21,39,240,2400
4923,SANGAMESWARA BACKWATERS,Wetland,ANDHRA PRADESH,22.0,27.0,5.1,6.4,6.8,7.9,357,1210,1.2,2.7,0.38,2.34,41,356,220,840
4920,SOMASILA BACK WATER,Wetland,ANDHRA PRADESH,21.0,29.0,5.2,6.5,7.2,7.9,480,795,1.0,1.8,0.34,0.94,25,373,240,594
4927,TATIPUDI RESERVOIR,Wetland,ANDHRA PRADESH,25.0,32.0,4.1,8.0,7.0,8.2,216,392,1.2,2.4,0.34,2.29,3,4,39,75
4929,UPPALANKA MUDFLATS,Wetland,ANDHRA PRADESH,25.0,29.0,2.3,8.0,7.0,8.0,730,39600,1.8,5.8,0.46,3.02,4,15,49,150
4935,UPPALAPADU TANK,Wetland,ANDHRA PRADESH,21.0,24.0,6.4,7.6,7.0,8.4,641,937,2.6,4.4,1.27,4.52,3,4,150,2400
4932,YERRAKALUVA RESERVOIR,Wetland,ANDHRA PRADESH,23.0,28.0,2.2,8.2,7.1,8.0,185,1175,1.4,2.8,0.42,2.29,4,7,43,93
3785,"BORBEEL NO. 1 , RAM NAGAR, DIGBOI,
PUBLIC WATER SUPPLY, TINSUKIA",LAKE,ASSAM,24.0,24.0,1.0,1.0,7.7,7.8,278,282,2.3,2.4,1.00,1.00,2,2,2,2
3789,"BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI",LAKE,ASSAM,22.0,26.0,3.8,8.5,7.0,7.7,179,208,2.0,2.7,0.60,1.20,300,910,1400,2000
3820,"BORSOLA BEEL, SARABBHATTI,
GUWAHATI",LAKE,ASSAM,21.0,32.0,0.3,6.3,7.3,7.8,452,470,23.6,29.2,2.00,2.80,2300,3900,4400,6400
2206,"DALONI BEEL NEAR JOGIGHOPA, ASSAM",LAKE,ASSAM,24.0,36.0,4.5,5.5,7.0,7.8,66,81,1.6,2.6,0.70,1.10,300,730,610,1500
2218,"DEEPAR BEEL AT BORAGAON NEAR
IASST, GUWAHATI, ASSAM",LAKE,ASSAM,21.0,31.0,4.6,10.8,7.2,7.8,156,288,2.0,5.0,0.60,2.00,300,730,1100,1600
1529,"DEEPAR BEEL, ASSAM",LAKE,ASSAM,20.0,31.0,4.2,10.8,7.2,7.8,150,291,2.2,5.2,0.80,1.80,300,730,910,1600
3821,"DIPLAI BEEL AT SILGARA, KOKRAJHAR",LAKE,ASSAM,22.0,34.0,4.2,5.5,7.0,7.6,64,98,2.0,2.9,0.70,1.40,300,730,910,1600
3787,"HOLUDUNGA BEEL NEAR GAI NADI/
RIVER AT SOMARAJAN, DHEMA JI",LAKE,ASSAM,22.0,25.0,4.2,8.4,7.0,7.6,84,130,2.0,2.8,0.60,0.90,300,730,910,1500
4337,"KAMALABARI LAKE INSIDE KAMALABARI
CHILDREN,S PARK, GELEKY",LAKE,ASSAM,20.0,35.0,5.4,7.6,6.8,7.6,53,85,1.9,2.5,0.70,1.20,300,360,360,910
3812,"KAMALPUR BEEL, KAMALPUR",LAKE,ASSAM,21.0,27.0,0.3,3.8,7.2,7.8,1046,1150,25.2,30.4,2.20,3.40,360,1400,910,2700
3800,"MALINI BEEL NEAR INDUTRIAL AREA AT
RAMNAGAR",LAKE,ASSAM,20.0,25.0,4.0,6.2,7.0,7.7,126,164,2.1,2.8,0.60,1.00,300,610,610,1600
2205,"MER BEEL AT MADHABPUR, ASSAM",LAKE,ASSAM,22.0,25.0,4.0,7.8,7.2,8.0,136,161,2.3,2.8,0.80,1.10,300,720,910,2000
3808,PARASHALI BEEL AT DEMORIA,LAKE,ASSAM,20.0,30.0,5.8,10.2,7.0,7.6,120,152,2.2,2.8,0.60,1.20,300,930,910,2000
3798,SAMAGURI BEEL IN NAGAON DISTRICT,LAKE,ASSAM,19.0,34.0,4.0,7.1,7.0,7.5,118,143,2.0,2.9,0.60,1.10,300,730,720,2000
3814,"SILSAKO BEEL, CHACHAL, GUWAHATI",LAKE,ASSAM,20.0,33.0,0.3,1.4,7.1,7.6,511,532,14.0,19.0,1.20,2.60,1400,2300,2700,4300
3804,SON BEEL WATER AT KARIMGANJ,LAKE,ASSAM,21.0,25.0,4.0,4.3,6.8,7.5,123,158,2.2,2.8,0.60,1.20,300,910,730,2100
3819,"SORU SOLA BEEL, PALTAN BAZAR,
GUWAHATI",LAKE,ASSAM,21.0,32.0,0.3,6.7,7.0,8.0,462,486,24.6,29.4,2.00,2.80,2600,3600,4200,5300
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI, ASSAM",POND,ASSAM,18.0,24.0,4.2,4.8,7.2,7.5,101,130,2.1,2.6,0.60,1.20,300,910,1100,2000
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO, ASSAM",POND,ASSAM,20.0,27.0,4.5,10.0,7.0,7.6,210,242,2.0,2.6,1.00,1.30,300,2300,730,4300
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,21.0,25.0,4.0,7.0,7.2,7.8,200,297,2.0,2.8,0.60,1.10,300,730,610,1500
3772,BORPUKHURI AT SONARI,POND,ASSAM,18.0,33.0,5.8,7.4,6.8,8.0,68,111,2.0,2.6,0.60,1.10,300,360,360,1100
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,19.0,34.0,5.6,7.6,6.9,7.7,56,96,2.0,2.5,0.70,1.10,300,360,300,910
2214,"BOTODRIVA SATRA POND, NAGAON,
ASSAM",POND,ASSAM,20.0,30.0,4.0,6.2,7.2,7.6,63,88,2.0,2.8,0.80,1.10,300,730,730,1500
2220,"CHAND DUBI BEEL, CHAND DUBI, ASSAM",POND,ASSAM,22.0,32.0,4.6,10.3,7.2,7.7,83,108,2.1,2.6,0.70,1.10,300,730,720,1500
2216,"DIGHALI PUKHURI, GUWAHATI, ASSAM",POND,ASSAM,20.0,35.0,4.2,11.2,7.1,7.7,218,321,2.3,3.0,1.00,1.80,360,730,910,2000
1263,"ELANGABEEL SYSTEM POND
(CONNECTED TO R. KOLANG), ASSAM",POND,ASSAM,19.0,29.0,4.0,6.8,7.0,7.6,206,882,2.2,2.8,0.80,1.30,300,910,730,2100
2228,"GALA BEEL AT DERGAON, ASSAM",POND,ASSAM,20.0,30.0,6.8,9.2,7.3,7.8,63,103,2.1,2.5,0.70,1.10,300,720,720,1500
2221,"GANGA PUKHURI, NALBARI (GORDON
SCHOOL), ASSAM",POND,ASSAM,21.0,27.0,4.5,10.2,7.0,7.8,70,89,1.8,2.8,0.60,1.10,300,730,610,1500
2209,"GAURISAGAR TANK, GAURISAGAR,
ASSAM",POND,ASSAM,20.0,36.0,4.8,7.0,6.4,7.6,65,83,1.3,2.7,0.70,1.40,2,730,360,1500
2212,"GOPHUR TANK, GOPHUR, ASSAM",POND,ASSAM,20.0,32.0,6.8,7.6,7.4,7.8,101,119,2.3,2.6,0.60,1.20,300,360,620,1500
2227,"HORDAI PUKHURI, CHARAIDEW, ASSAM",POND,ASSAM,18.0,32.0,5.6,7.2,6.7,7.4,64,77,1.8,2.7,0.80,1.10,300,360,360,910
2213,"JAIPAL PUKHURI, SIPAJHAR, ASSAM",POND,ASSAM,22.0,31.0,7.0,8.0,7.2,8.0,89,210,2.2,2.8,0.80,1.10,300,720,730,1400
3809,"JORPUKHURI AT UZANBAZAR
(UGRATALA TEMPLE)",POND,ASSAM,20.0,35.0,4.5,11.0,7.0,8.0,382,404,2.1,2.9,0.80,1.20,360,910,910,2000
2223,"MAHAMAYA MANDIR PUKHURI, ASSAM",POND,ASSAM,22.0,36.0,4.0,5.1,7.2,8.0,68,95,1.9,2.6,0.70,1.10,300,910,910,2100
4006,NETAI PUKHURI AT NETAI PUKHURI,POND,ASSAM,18.0,35.0,5.0,7.6,6.0,7.9,64,88,1.8,2.6,0.70,1.10,300,360,360,910
2211,"PADUMPUKHURI, TEZPUR, ASSAM",POND,ASSAM,23.0,33.0,7.0,7.8,7.2,7.8,264,304,2.2,2.7,0.80,1.30,300,730,720,1500
3806,"POND WATER FROM RAMKRISHNA
MISSION AT HAILAKANDI",POND,ASSAM,22.0,25.0,4.0,5.4,6.8,7.7,122,179,2.2,2.6,0.70,1.00,300,940,910,1600
2222,"RAJADINIA PUKHURI AT ABHAYAPURI, ASSAM",POND,ASSAM,24.0,38.0,4.1,5.7,7.0,7.7,60,80,1.9,2.6,0.70,1.20,300,910,730,2000
2224,"RAJAPUKHURI AT GAURIPUR, ASSAM",POND,ASSAM,24.0,36.0,4.3,5.6,7.3,7.9,96,126,2.1,2.6,0.70,1.20,300,910,910,2000
2210,"RAJMAW PUKHURI, JORHAT, ASSAM",POND,ASSAM,21.0,33.0,5.6,7.8,6.8,7.8,73,109,2.1,2.6,0.60,1.20,300,360,360,910
2215,"SARAN BEEL, ASSAM",POND,ASSAM,21.0,32.0,4.0,7.0,7.0,7.6,75,105,2.0,2.7,0.70,1.10,300,730,720,1500
2226,"SIVASAGAR TANK (BORPUKHURI) NEAR
SIVADOL, ASSAM",POND,ASSAM,20.0,36.0,4.0,7.5,6.6,7.6,66,90,1.8,2.8,0.70,1.10,300,730,360,1500
2217,"SUBHAGYA KUNDA POND KAMAKHYA
TEMPLE, GUWAHATI, ASSAM",POND,ASSAM,19.0,30.0,4.0,8.5,7.3,7.8,218,247,2.0,2.7,0.60,1.10,300,730,720,2100
4334,"THOWRADOLE PUKHURI, THOWRADOLE
G.P. DEMOW BLOCK",POND,ASSAM,19.0,36.0,5.5,7.8,6.8,7.7,71,89,2.0,2.8,0.70,1.10,300,360,360,910
1532,"GOYSAGAR TANK, SIBSAGAR, ASSAM",TANK,ASSAM,20.0,36.0,5.5,6.5,6.3,7.6,62,88,1.4,2.6,0.70,1.10,2,300,360,730
2557,"KAWAR LAKE, BEGUSARAI",LAKE,BIHAR,12.0,31.0,1.7,9.2,6.8,7.5,136,360,2.4,4.2,0.15,6.20,780,92000,2300,160000
2571,MOTI JHEEL AT MOTIHARII,LAKE,BIHAR,20.0,29.0,2.6,22.0,7.2,8.3,390,1080,1.0,16.0,0.06,2.57,680,160000,1100,160000
4296,"SIKANDRAPUR, MUZAFFARPUR",LAKE,BIHAR,12.0,32.0,2.2,18.5,7.6,9.0,444,948,3.7,10.0,0.30,0.50,1700,160000,3300,160000
2574,SURAJ KUND AT GAYA,POND,BIHAR,18.0,31.0,3.3,16.0,7.1,8.2,427,817,2.3,6.9,0.13,1.65,2200,160000,2600,160000
2573,TIGHI TALAB AT GAYA,POND,BIHAR,18.0,31.0,5.4,19.6,7.4,8.8,557,1140,2.1,8.0,0.30,1.17,920,160000,1700,160000
2046,"SUKHNA LAKE, CHANDIGARH",LAKE,CHANDIGARH,17.0,33.0,7.5,10.3,6.9,8.7,208,295,2.4,3.6,0.50,15.00,5,27000,33,10900000
3163,"HITKASA TAILING DAM, RAJHARA, CHHATISGARH.(DALLI RAJHARA IRON
ORE MINES, DALLI RAJHARA)",LAKE,CHHATTISGARH,24.0,32.0,6.0,6.8,7.1,7.8,,,8.0,16.0,0.64,0.64,2,170,70,170
3164,"NEHRU NAGAR TALAB, BHILAI, CHHATISGARH.",POND,CHHATTISGARH,21.0,31.0,7.0,7.2,7.1,7.8,,,2.0,2.8,0.59,0.59,10,110,110,170
3031,"BHALSWA LAKE, DELHI",LAKE,DELHI,32.0,32.0,0.3,1.7,7.6,8.1,6560,6560,40.0,55.0,1.14,2.10,49000,3300000,14000000,14000000
3476,"LAKE NEAR IIT FLYOVER, DELHI",LAKE,DELHI,34.0,34.0,0.3,11.0,8.7,9.1,940,940,64.0,163.0,2.38,2.60,49,980000,79,79
3030,"SANJAY LAKE, DELHI",LAKE,DELHI,33.0,33.0,0.3,9.0,8.1,8.3,1194,1194,26.0,57.0,1.01,2.04,49,40000,130,130
3175,ANJUNEM LAKE,LAKE,GOA,27.0,32.0,4.8,7.9,5.7,7.4,40,140,1.0,1.6,0.32,0.54,2,240,2,540
3177,CARAMBOLIM LAKE,LAKE,GOA,27.0,30.0,4.3,8.8,6.3,8.3,99,603,1.0,2.8,0.32,0.39,78,1300,110,3300
3180,CURTORIM LAKE,LAKE,GOA,27.0,31.0,1.6,6.7,6.0,7.7,78,195,1.0,2.9,0.32,1.22,130,2300,170,4900
4408,HARWALE WATER FALL,LAKE,GOA,27.0,33.0,5.9,8.4,6.2,7.4,55,167,1.0,1.9,0.32,0.44,49,3300,140,5400
2269,"MAYEM LAKE, BICHOLIM",LAKE,GOA,28.0,32.0,5.9,8.2,6.2,7.3,39,96,1.0,1.8,0.32,0.32,170,2200,330,2700
3178,RAIA LAKE,LAKE,GOA,27.0,31.0,2.8,7.7,6.4,7.7,90,177,1.2,3.4,0.32,1.12,45,2700,68,3900
3176,RUMDER LAKE,LAKE,GOA,27.0,32.0,1.2,6.0,6.1,7.8,95,141,1.0,3.8,0.32,0.52,130,2300,230,4900
3179,SAIPEM LAKE,LAKE,GOA,28.0,30.0,1.2,4.9,6.5,7.8,196,463,2.5,8.0,0.32,1.18,230,4900,940,7900
1549,"SALAULIM LAKE AT SALAULIM -
SANGUEM, GOA",LAKE,GOA,27.5,33.0,6.1,8.1,6.7,8.5,38,139,1.0,1.8,0.32,0.90,2,49,4,79
1345,"AJWAH LAKE AT SRI SAYAJI SABVAR,
BARODA,",LAKE,GUJARAT,27.0,30.0,5.1,8.5,7.6,8.5,365,502,1.0,1.0,0.32,0.39,2,11,17,70
2076,"ANKLESHWAR RESERVOIR AT GIDC
ANKLESHWAR AT VALIA ROAD.",LAKE,GUJARAT,26.0,31.0,6.5,8.5,7.6,8.3,306,508,1.0,1.0,0.30,0.50,2,27,20,70
1973,"BINDUSAROVAR, SIDDHPUR
(DIST.PATAN)",LAKE,GUJARAT,27.0,29.0,3.5,7.2,7.3,8.0,205,2415,1.0,10.5,0.30,1.30,12,120,46,350
1344,"CHANDOLA LAKE AT AHMEDABAD,",LAKE,GUJARAT,25.0,30.0,4.1,6.9,7.3,8.4,449,669,2.4,19.0,0.30,1.68,26,920,130,1600
1977,CITY LAKE OF NADIAD,LAKE,GUJARAT,27.0,35.0,4.7,6.7,7.7,8.5,892,1621,1.5,3.2,0.24,0.72,70,350,280,540
3198,"GOMTI LAKE, OPP, RANCHODAJI
TEMPLE, DAKOR, KHEDA",LAKE,GUJARAT,26.0,33.0,3.4,6.8,7.4,8.5,335,646,1.3,3.2,0.32,1.60,23,140,130,350
3199,"HAMISAR TALAV, BHUJ",LAKE,GUJARAT,23.0,30.0,5.2,6.4,7.2,8.4,363,690,2.2,2.8,0.33,0.46,5,7,22,28
1343,"KANKORIA LAKE AT AHMEDABAD, NR.
BALVATIKA,",LAKE,GUJARAT,25.0,30.0,4.8,8.4,8.5,9.1,2571,3999,7.0,22.0,0.32,1.63,33,920,280,1600
2078,"KUWADAVA LAKE, VILL. KUWADAVA,
DIST. RAJKOT.",LAKE,GUJARAT,26.0,30.0,5.9,6.9,7.3,8.4,452,3120,1.6,2.5,0.32,0.75,2,170,10,540
1975,"LAKHOTA TALAV, JAMNAGAR",LAKE,GUJARAT,18.0,29.0,3.0,4.4,6.8,8.4,358,835,1.0,2.1,0.32,0.60,3,6,6,27
3197,"MACHHU-II DAM, RAFLESHWAR, MORBI, RAJKOT",LAKE,GUJARAT,24.0,29.0,6.4,6.8,7.3,8.6,299,1012,2.0,2.4,0.16,0.43,2,21,2,49
3201,"MALAV TALAV, DHOLKA",LAKE,GUJARAT,24.0,32.0,4.2,9.2,8.3,9.1,2669,3850,3.0,27.0,0.30,0.72,12,540,63,920
3200,MOONSAR LAKE OF VIRAMGAM,LAKE,GUJARAT,26.0,30.0,0.3,7.5,8.3,9.0,1838,6138,10.0,59.0,0.16,1.10,94,920,280,1600
2077,"MOTICHER LAKE NEAR KAKARPAR
ATOMIC POWER STATION, DIST. SURAT.",LAKE,GUJARAT,20.0,30.0,6.2,7.6,7.5,8.3,383,773,1.0,1.1,0.01,0.42,2,6,2,33
1972,"NALSAROVAR LAKE (SANAND),
DIST.AHMEDABAD",LAKE,GUJARAT,26.0,30.0,5.0,8.4,7.8,8.8,1290,11480,1.8,24.0,0.32,0.76,33,540,120,920
1976,NARSIMEHTA TALAV- JUNAGADH,LAKE,GUJARAT,23.0,29.0,3.5,6.5,7.2,8.3,314,1020,2.2,2.9,0.33,0.35,2,49,17,130
1346,"SURSAGAR LAKE AT BARODA,",LAKE,GUJARAT,26.0,32.0,4.9,7.3,7.6,8.5,800,1136,1.6,4.1,0.32,0.45,46,350,170,540
3202,VHERAIMATA TALAV AT ANAND,LAKE,GUJARAT,26.0,28.0,3.5,5.5,7.3,8.5,430,779,1.8,4.1,0.30,0.91,130,350,240,540
2079,"DHUDHIA TALAV AT NAVSARI, DIST.
NAVSARI.",POND,GUJARAT,28.0,31.0,7.0,7.8,7.5,8.4,369,564,1.0,1.9,0.30,0.57,2,17,10,120
1979,"OLPAD, VILLAGE POND:OLPAD, SURAT",POND,GUJARAT,20.0,30.0,5.4,8.2,7.3,8.4,413,1038,1.0,2.5,0.04,0.32,2,110,27,280
1971,THOL TANK (KALOL) (DIST. MEHASANA),TANK,GUJARAT,22.0,35.0,2.6,7.7,7.1,8.5,440,1360,8.0,29.0,0.32,1.04,6,540,50,920
1349,"BRAHMSAROVAR LAKE AT
KURUKSHETRA",LAKE,HARYANA,,,6.2,7.8,7.2,8.0,289,812,3.5,4.5,0.14,2.84,100,14100,100,34800
1392,"KAUSSHALAYA LAKE, PINJORE,
PANCHKULA",LAKE,HARYANA,,,3.9,7.2,7.6,8.2,329,488,3.2,4.8,0.30,0.88,400,4800,100,12000
3033,SOHNA LAKE,LAKE,HARYANA,20.4,32.0,6.5,7.2,7.0,7.9,860,1360,4.0,9.0,0.80,3.20,6600,39000,32000,110000
4857,"SANHIT SAROVAR, KURUSHETRA",POND,HARYANA,,,6.3,8.0,7.0,7.8,280,785,3.4,4.6,0.18,0.30,100,11800,100,24000
1291,GOBINDSAGAR LAKE AT BILASPUR,LAKE,"HIMACHAL
PRADESH",14.0,23.0,8.4,9.7,7.2,8.0,187,380,1.0,1.0,0.32,2.14,94,540,280,1600
2650,KHAZIAR LAKE,LAKE,"HIMACHAL
PRADESH",4.0,17.0,5.7,7.1,6.1,7.7,62,113,1.0,2.0,0.30,1.90,2,2,31,84
1292,"PONGDAM LAKE AT PONG VILLAGE,",LAKE,"HIMACHAL
PRADESH",13.0,26.0,6.0,9.2,7.1,8.2,109,225,1.0,1.0,0.30,1.20,2,2,25,63
1429,"RENUKA LAKE , 35 KM FROM PATNA
SAHIB NORTH",LAKE,"HIMACHAL
PRADESH",10.0,22.0,6.5,8.9,7.3,8.5,372,625,1.0,2.0,0.32,0.82,26,46,130,350
2649,RIWALSAR LAKE,LAKE,"HIMACHAL
PRADESH",11.0,27.0,5.3,9.8,6.9,8.3,58,746,1.0,5.0,0.41,1.74,110,920,920,1600
2738,"(MANSAR LAKE AT MID POINT(MANSAR
LAKE)",LAKE,"JAMMU &
KASHMIR",14.0,24.0,7.5,7.9,7.4,7.9,190,225,1.0,1.0,0.02,0.26,,,,
2740,"(MANSAR LAKE AT MID POINT(SURINSAR LAKE), J&K",LAKE,JAMMU & KASHMIR,15.0,26.0,6.2,6.6,7.9,8.6,168,236,3.1,4.1,0.03,0.04,-,-,-,-
4044,ANCHAR LAKE AT CENTRAL SITE,LAKE,JAMMU & KASHMIR,9.2,26.1,3.6,7.1,7.3,7.7,225,479,1.5,2.8,-,-,-,-,-,-
4047,ANCHAR LAKE AT JENAB SAHAB SOURA,LAKE,JAMMU & KASHMIR,8.3,26.3,0.5,3.6,7.2,7.4,300,725,3.3,8.7,-,-,-,-,-,-
4045,ANCHAR LAKE AT SANGAM,LAKE,"JAMMU &
KASHMIR",7.1,26.4,1.4,5.6,7.2,7.4,274,552,2.4,5.3,-,-,-,-,-,-
4043,ANCHAR LAKE AT SINDH INFLOW,LAKE,"JAMMU &
KASHMIR",7.3,24.0,3.5,7.2,7.3,7.8,217,2889,1.2,2.8,-,-,-,-,-,-
4046,ANCHAR LAKE NEAR LKIMS,LAKE,"JAMMU &
KASHMIR",8.9,25.8,0.7,2.6,7.1,7.4,274,676,3.5,7.6,-,-,-,-,-,-
4040,DAL LAKE AT ASHAIBAGH BRIDGE,LAKE,"JAMMU &
KASHMIR",13.0,25.8,4.3,9.0,7.3,8.1,179,217,2.0,4.4,-,-,-,-,-,-
4042,DAL LAKE AT JOGILANKER,LAKE,"JAMMU &
KASHMIR",14.0,28.2,0.5,4.5,7.1,7.7,264,350,5.4,13.6,-,-,-,-,-,-
4041,DAL LAKE AT NAYADYAR,LAKE,"JAMMU &
KASHMIR",13.5,28.0,0.7,5.0,7.1,7.7,273,310,4.4,10.5,-,-,-,-,-,-
3254,DAL LAKE AT ABIKARPORA,LAKE,"JAMMU &
KASHMIR",11.2,25.5,3.4,7.5,7.2,7.9,166,2110,2.1,2.9,-,-,-,-,-,-
3252,DAL LAKE AT CHAIRCHINARI,LAKE,"JAMMU &
KASHMIR",11.3,28.0,3.3,7.5,7.0,8.3,161,206,2.0,3.7,-,-,-,-,-,-
3251,DAL LAKE AT DALGATE,LAKE,"JAMMU &
KASHMIR",11.7,27.3,4.7,7.6,7.1,7.9,170,200,2.7,3.3,-,-,-,-,-,-
3259,DAL LAKE AT DHOBIGHAT,LAKE,"JAMMU &
KASHMIR",14.0,27.8,4.0,9.0,7.5,8.2,161,430,2.3,6.4,-,-,-,-,-,-
3256,"DAL LAKE AT ENTRY POINT OF TALIBAL
NALLAH",LAKE,"JAMMU &
KASHMIR",13.0,26.4,6.0,9.5,7.5,8.1,101,237,1.3,3.4,-,-,-,-,-,-
3257,DAL LAKE AT HABAK,LAKE,"JAMMU &
KASHMIR",13.5,27.4,2.8,8.3,7.4,8.5,183,420,1.0,8.5,0.02,0.02,-,-,-,-
3258,DAL LAKE AT HAZRATBAL,LAKE,"JAMMU &
KASHMIR",13.8,28.0,4.5,9.8,7.5,8.3,206,311,2.2,5.6,-,-,-,-,-,-
3262,"DAL LAKE AT NIGEEN, WATER INTAKE PT OF POKHRIBAL WATER TREATMENT
PLANT",LAKE,JAMMU & KASHMIR,13.5,27.0,5.8,9.2,7.7,8.5,202,227,2.0,4.0,-,-,-,-,-,-
3261,"DAL LAKE AT NISHAT, WATER INTAKE POINT OF NISHAT WATER TREATMENT
PLANT",LAKE,JAMMU & KASHMIR,13.0,27.6,6.4,9.8,7.9,8.2,160,195,2.0,3.8,-,-,-,-,-,-
3260,DAL LAKE AT SONALANK,LAKE,JAMMU & KASHMIR,13.8,26.1,6.4,9.8,7.4,8.5,142,268,1.5,2.9,-,-,-,-,-,-
1309,DAL LAKE AT SRINAGAR,LAKE,JAMMU & KASHMIR,11.7,28.0,5.7,9.3,7.4,7.8,165,202,2.3,4.6,-,-,-,-,-,-
3253,DAL LAKE NEAR NISHAT LAM,LAKE,JAMMU & KASHMIR,12.2,27.5,4.8,8.9,7.6,8.3,188,267,2.0,6.3,-,-,-,-,-,-
