chunk_id,document,text,chunk_length
cancer_and_cure__a_critical_analysis.27.pdf_10,cancer_and_cure__a_critical_analysis.27.pdf,"Results Program, it is 98% survivable for 5 or more years 
if prostate cancer diagnosed at stages when the disease is 
confined to the prostate gland (Stage I and II).[1] The survival 
rate drops to about 28% if diagnosed at Stage IV .
Cancers cells not only have mutations that result in 
dysregulated expression of oncogenes and tumor suppressor 
genes, but these changes result in the alteration of expression 
of hundreds of genes. Looking at this, we have various forms 
of “targeted” therapy directed at specific single molecular 
targets or a class of molecular targets in cancer cells. With 
targeted therapy , the specific mechanism of action of the drug 
results in an increase in its therapeutic index. Currently , the 
two major classes of targeted therapy are the small molecule 
tyrosine kinase inhibitors and monoclonal antibodies (MABs). 
Imatinib, for instance, has been amazingly successful as a 
targeted agent directed against several members of a class of",976
cancer_and_cure__a_critical_analysis.27.pdf_11,cancer_and_cure__a_critical_analysis.27.pdf,"targeted agent directed against several members of a class of 
enzyme known as tyrosine kinases, and by that mechanism, 
it has been phenomenally successful as a treatment of chronic 
myeloid leukemia and gastrointestinal stromal tumors. 
Tamoxifen is a targeted therapy directed at the estrogen 
receptor (ER), and it still remains a mainstay of treatment for 
ER-positive breast cancers, along with a newer class of drugs 
known as aromatase inhibitors.
Cancer researchers work on developing new and more 
effective surgery techniques, radiotherapy and chemotherapy 
drugs all the time. Biological therapies such as MABs, 
cancer vaccines, and gene therapies are all active areas of 
research. There are various anti-angiogenic drugs that can 
stop cancers from growing the blood vessels that they need. 
Research is also looking into developing cost-effective ways 
of screening for the different common cancers so they can 
be diagnosed early enough to be cured.",966
cancer_and_cure__a_critical_analysis.27.pdf_12,cancer_and_cure__a_critical_analysis.27.pdf,"of screening for the different common cancers so they can 
be diagnosed early enough to be cured.
Avoiding immune destruction is now considered a hallmark 
of cancer, and the immunotherapy arena has exploded 
with the recent advances demonstrating an improvement 
in survival and a durability of response in patients with 
different cancer types, like in melanoma, which translates 
into an improved overall survival benefit. [5] To name those 
immunotherapeutic strategies that include the adoptive 
transfer of ex vivo activated T cells, immunomodulatory 
MABs, and cancer vaccines. Advances in molecular 
pathology will provide the means to identify the targets 
and will be used to subtype tumors and will provide predict 
response to therapy and provide prognostic information. [6]
Conclusion
Unfortunately , although we do fairly well (and in some cases 
very well) against early stage cancer, we do not do so well 
against Stage IV metastatic disease, particularly solid tumors.",985
cancer_and_cure__a_critical_analysis.27.pdf_13,cancer_and_cure__a_critical_analysis.27.pdf,"against Stage IV metastatic disease, particularly solid tumors. 
There is still a long way to go before we can cure most cancers.
Financial support and sponsorship
Nil.
Conﬂicts of interest
There are no conflicts of interest.
References
1.  Mackay J, Jemal A, Lee NC, Parkin DM. The Cancer Atlas. Atlanta: 
American Cancer Society; 2006.
2. Hanahan D, Weinberg RA. Hallmarks of cancer: The next generation. Cell 
2011;1 44:646-74.
3. Reeves GK, Beral V, Green J, Gathani T, Bull D; Million Women Study 
Collaborators. Hormonal therapy for menopause and breast - cancer risk 
by histological type: A cohort study and meta - analysis. Lancet Oncol 
2006;7:910-8.
4. Cuzick J, DeCensi A, Arun B, Brown PH, Castiglione M, Dunn B, et al. 
Preventive therapy for breast cancer: A consensus statement. Lancet 
Oncol 2011;1 2:496-503.
5.  Couzin- Frankel J. Breakthrough of the year 201 3. Cancer immunotherapy. 
Science 201 3;342:1 432-3.
6.  Bennett WP, Hussain SP, Vahakangas KH, Khan MA, Shields PG,",995
cancer_and_cure__a_critical_analysis.27.pdf_14,cancer_and_cure__a_critical_analysis.27.pdf,"Science 201 3;342:1 432-3.
6.  Bennett WP, Hussain SP, Vahakangas KH, Khan MA, Shields PG, 
Harris CC. Molecular epidemiology of human cancer risk: Gene - environment 
interactions and p53 mutation spectrum in human lung cancer. J Pathol 
1 999;187:8-18.
Downloaded from http://journals.lww.com/indianjcancer by BhDMf5ePHKav1zEoum1tQfN4a+kJLhEZgbsIHo4XMi0
hCywCX1AWnYQp/IlQrHD3i3D0OdRyi7TvSFl4Cf3VC1y0abggQZXdgGj2MwlZLeI= on 12/03/2023",435
medical_oncology_handbook_june_2020_edition.pdf_0,medical_oncology_handbook_june_2020_edition.pdf,"Abhishek Joshi 
Corinne Ryan 
Sabe Sabesan 
Suresh Varma 
Zulfiquer Otty 
 
 
DEPARTMENT OF MEDICAL ONCOLOGY 
TOWNSVILLE CANCER CENTRE 
TOWNSVILLE UNIVERSITY HOSPITAL  
TOWNSVILLE, AUSTRALIA 
 
 
 
 
 
 
 
 
 
 
MEDICAL ONCOLOGY HANDBOOK 
FOR JUNIOR MEDICAL OFFICERS 


 
 
Medical Oncology Handbook for Junior Medical Officers 
5
th
 Edition June 2020, 
Townsville, Australia. 
 
Townsville Cancer Centre is a teaching partner of the James Cook University and 
research partner of the Australian Institute of Tropical Health &Medicine, 
Townsville, Queensland, Australia.",572
medical_oncology_handbook_june_2020_edition.pdf_1,medical_oncology_handbook_june_2020_edition.pdf,"1 
 
 
INTRODUCTION: 
Welcome to the Department of Medical Oncology at the Townsville Cancer Centre. By 
the end of the term, you should be able to identify and manage common side effects of 
chemotherapy and radiotherapy in the areas of general practice, emergency departments 
and rural hospitals and general medical wards. You will also have some understanding of 
treatment principles and aims of cancer therapy for common malignancies. This 
handbook is meant for the use of resident medical officers and basic physician trainees. 
It may also be useful to advanced trainees in the ir first few months of training. We hope 
that this experience will give you the skills to deal with cancer patients with positive and 
empathetic approach. 
If you are encountering emotional difficulties when dealing with poor prognosis, please 
talk to one of us earlier in the term to learn ways to deal with it effectively. 
 
Enjoy the medical oncology rotation. 
 
 
Regards,",968
medical_oncology_handbook_june_2020_edition.pdf_2,medical_oncology_handbook_june_2020_edition.pdf,"Enjoy the medical oncology rotation. 
 
 
Regards, 
 
CONSULTANT MEDICAL ONCOLOGISTS",84
medical_oncology_handbook_june_2020_edition.pdf_3,medical_oncology_handbook_june_2020_edition.pdf,"2 
 
TABLE OF CONTENTS  
ORIENTATION TO MEDICAL ONCOLOGY DEPARTMENT ............................ 3 
PRINCIPLES OF MANAGEMENT OF PATIENTS ON SYSTEMIC THERAPY 9 
Common side effects of systemic therapeutic agents ................................................ 13 
Chemotherapy related emesis .................................................................................... 16 
PRINCIPLES OF TARGETED THERAPY .............................................................. 19 
PRINCIPLES OF CANCER IMMUNOTHERAPY ................................................. 21 
Medical Oncology Emergencies ................................................................................ 32 
SUMMARY OF MANAGEMENT OF COMMON CANCERS   ............................ 33 
BREAST CANCER .................................................................................................... 33 
Cancers of the Gastro-Intestinal Tract ..................................................................... 37",987
medical_oncology_handbook_june_2020_edition.pdf_4,medical_oncology_handbook_june_2020_edition.pdf,"GBM ........................................................................................................................... 41 
GERM CELL TUMOURS ......................................................................................... 41 
HEAD AND NECK CANCER ................................................................................... 43 
LUNG CANCER ........................................................................................................ 43 
MELANOMA ............................................................................................................. 45 
GYNAECOLOGICAL CANCER ............................................................................... 47 
CANCERS OF GENITO URINARY SYSTEM ........................................................ 48",795
medical_oncology_handbook_june_2020_edition.pdf_5,medical_oncology_handbook_june_2020_edition.pdf,"3 
 
ORIENTATION TO MEDICAL ONCOLOGY DEPARTMENT 
Junior medical officers play an important role in the day-to-day care of patients in 
Medical Oncology Department . It is critical that you work in c lose collaboration with 
senior medical, nursing and allied health staff , along with our administrative support 
officers.  
We have outlined some useful practice points will help you to settle into our department 
smoothly. 
Educational and training resources 
Electronic medical records 
Townsville Cancer Centre uses MOSAIQ as its EMR. Please become familiar with 
MOSAIQ by contacting the CNC for MOSAIQ on 32888 or through  our administrative 
support officers 44331671 prior to commencement. We assume that you are familiar with 
the ieMR, the THHS-wide EMR. 
Chemotherapy protocol 
eviQ is a very useful website to learn chemotherapy protocols and side -effects. It also 
contains information about managing extravasation (www.eviq.org.au).",947
medical_oncology_handbook_june_2020_edition.pdf_6,medical_oncology_handbook_june_2020_edition.pdf,"contains information about managing extravasation (www.eviq.org.au). 
NB: RMOs and interns are not expected to write chemotherapy orders. When 
writing oral chemotherapy, targeted agents and colony stimulating factors, please 
exercise caution and follow the advice of your registrars and consultants.  
Medication prescribing 
Quality of inpatient medication prescribing can be improved by adhering to the THHS 
guide for inpatient medication prescription. 
End of life care bedside tutorial and introduction to telehealth 
These two topics are available on YouTube (searchable using the titles) and are useful 
resources for developing mental frameworks for approaching these topics. 
Basic principles of oncology 
Clinical oncology for medical students is a useful resource for learning basic principles 
of oncology care. 
 
http://wiki.cancer.org.au/oncologyformedicalstudents/Clinical_Oncology_for_Medical_
Students",921
medical_oncology_handbook_june_2020_edition.pdf_7,medical_oncology_handbook_june_2020_edition.pdf,"4 
 
Documentation 
Since funding for operations of medical departments are linked to their clinical activities, 
it is important to use coding terminologies during documentation of patient notes. 
Issues with central venous access devices  
We use central lines commonly in oncology and therefore, it is prudent to be aware of 
managing complications. As a rule, when it is difficult to draw blood from lines or inject 
fluids, it is important to use imaging (including chest -Xray and linogram) for checking 
the position and viability before using the lines. Please seek advice when infection and 
thrombosis are suspected/proven. We can rarely save lines using antibiotics  
Self-care 
Please maintain physical, emotional, mental and spiritual health. Take  regular breaks as 
much as possible and maintain effective work -life balance (This doesn’t mean work is 
bad and life is good; it is about having a balance that suits your needs) . Please seek help",960
medical_oncology_handbook_june_2020_edition.pdf_8,medical_oncology_handbook_june_2020_edition.pdf,"bad and life is good; it is about having a balance that suits your needs) . Please seek help 
if you think you need help including emotional support and guidance. 
Day unit 
• Orientate with the Day-unit staff and introduce yourself to senior nursing 
staff and establish working relationships with them.   
• You are the first point of call for any issues in day unit and therefore, please 
make sure that you are always available during rostered hours. Day unit relies 
on effective discharge of patients to maintain flow. A delay due to one issue 
could delay the whole day’s operation and care of other patients. 
• Infusion reactions are medical emergencies: You should always attend to a 
patient having a reaction, leaving everything else. If you are not available, 
please make sure another doctor can attend the patient immediately. 
Clinics 
• Being “On Time” is important! Clinics start on time so that patients can 
receive their chemotherapy in day unit without delays.",982
medical_oncology_handbook_june_2020_edition.pdf_9,medical_oncology_handbook_june_2020_edition.pdf,"receive their chemotherapy in day unit without delays. 
• If a patient is seen by the consultant in clinic, please ask them to sign the blue 
form. 
Dealing with consultants and registrars 
Please don’t hesitate to seek help from senior medical staff. All changes in management 
should be discussed. Harass them even if they are busy!",334
medical_oncology_handbook_june_2020_edition.pdf_10,medical_oncology_handbook_june_2020_edition.pdf,"5 
 
Dealing with nurses and other health professionals 
• Advice from nursing staff is an important resource for patient care.  
• When chemotherapy changes, delays or cancellation occur, it is prudent to 
inform the nursing and pharmacy staff. 
Dealing with patients on chemotherapy and chemotherapy orders 
• When you see a patient for chemotherapy review, please prepare the care 
plans for the next cycle. 
• Dose reduction: After consultation with senior medical staff, please document 
dose reductions and make changes on MOSAIQ scripts. If there is a dose 
increase, it is possible only from the next cycle. 
• All chemotherapy bookings are done through administration officers and day 
unit schedulers. 
• Initial chemotherapy orders should be counter-signed by a consultant. 
• Please be familiar with important practice points for common medications as 
described in this hand book. 
Admitted patients 
• Make sure they are seen by consultants within 24 hours of admission and on a",992
medical_oncology_handbook_june_2020_edition.pdf_11,medical_oncology_handbook_june_2020_edition.pdf,"Admitted patients 
• Make sure they are seen by consultants within 24 hours of admission and on a 
regular basis; 
• Have an expected date of discharge and do the discharge planning, including 
timely completion of high-quality discharge summaries; ideally on the day 
of discharge, using the national guide for discharge summaries. 
• If a patient undergoing chemotherapy is admitted with complications, inform 
the day-unit and the treating consultant of any changes in treatment. It will 
also be important to document this episode on MOSAIQ for continuity of 
care and future planning including dose changes and addition of GCSF. 
• If any oncology patient is admitted in another department or another hospital 
with complications, inform the treating consultant and document on 
MOSAIQ. 
• In-patient consults from other departments need to be seen on the same day, 
discussed with or seen by the consultant on call and documented on 
MOSAIQ.",947
medical_oncology_handbook_june_2020_edition.pdf_12,medical_oncology_handbook_june_2020_edition.pdf,"discussed with or seen by the consultant on call and documented on 
MOSAIQ. 
• It is important to inform the consultant on call of any patients admitted to 
medical oncology. 
Remember to use telehealth for appointments via our teleoncology coordinator. Telehealth is 
appropriate for most rural & selected metro patients",321
medical_oncology_handbook_june_2020_edition.pdf_13,medical_oncology_handbook_june_2020_edition.pdf,"6 
 
 
CONSULTANT MEDICAL ONCOLOGISTS/ SENIOR MEDICAL 
OFFICERS 
Professor Sabe Sabesan 
BMBS (Flinders), PhD, FRACP 
Senior Staff Specialist 
Clinical Dean, James Cook University & 
Townville Hospital and Health Services 
 
Dr Suresh Varma 
MBBS, MD, DM, FRACP 
Senior Staff Specialist and senior lecturer 
 
Dr Abhishek Joshi 
MBBS, MD, DM, FRACP 
Senior Staff Specialist and senior lecturer 
 
Dr Zulfiquer Otty 
MBBS, MD, MRCP, FRACP 
Staff specialist and senior lecturer 
 
Dr Corinne Ryan 
MBBS (Hons), B Appl Sci, FRACP 
Staff specialist and senior lecturer 
 
Dr Christine Mitchell  
MBBS (Adelaide), FRACGP 
Senior Medical Officer Medical Oncology",656
medical_oncology_handbook_june_2020_edition.pdf_14,medical_oncology_handbook_june_2020_edition.pdf,"7 
 
WEEKLY TIMETABLE 
Time Monday Tuesday Wednesday Thursday Friday 
0745-0830 GI MDT 
(0800-0900) 
 Breast MDT 
Gynae MDT 
every three 
weeks 
 
 Colorectal 
MDT 
(0800-0900) 
0900-1200 Clinics 
SV, ZO, 
CR 
Clinic 
SV, ZO 
H&N MDT 
Clinic 
CM, SV, AJ 
Clinic  
CM, CR, AJ, 
ZO 
Clinic  
SV, ZO, AJ, 
1230-1330 Grand rounds 
(RDA) 
Clinic  
SS 
 
Radiology 
(Weekly)/  
Uro MDT 
(fortnightly) 
Clinical 
Reasoning 
(RDA) 
 
1330- Clinic 
Spill-over 
Clinic 
AJ/SV 
Skin MDT 
(1300-1400) 
 
1400-1500 Journal Club 
Reg training 
M&M 
 
1500-1600 
1600-1700  Neuro-MDT 
(monthly) 
Lung MDT   
Educational aims for this rotation: 
• Management of complications of systemic therapy. 
• Familiarity with common systemic therapy regimens. 
• Management of medical emergencies. 
• Management of quality of life issues. 
• Understanding of psychosocial issues related to cancer patients- discussing 
prognosis, breaking bad news, family meetings etc.",944
medical_oncology_handbook_june_2020_edition.pdf_15,medical_oncology_handbook_june_2020_edition.pdf,"prognosis, breaking bad news, family meetings etc. 
• Understanding of curative vs palliative intent therapy. 
• Familiarity with the management of common malignancies including 
multidisciplinary approach. 
 
1430-1530 
Long case 
practice for 
BPT, RMO 
and Interns",267
medical_oncology_handbook_june_2020_edition.pdf_16,medical_oncology_handbook_june_2020_edition.pdf,"8 
 
Routine tasks: 
• Managing inpatients – routine inpatient care, ward consultations, weekend 
roster (it is the responsibility of the registrars to do this roster). 
o Prior to consultant ward rounds, results should be available for imaging 
studies, histology and blood tests. 
o (For interns, all the procedures except IV cannulation need to be initially 
supervised by registrars or consultants). 
• Review of day unit patients. 
• Review of clinic patients. 
• Phone consults from GPs, other staff and the patients. 
• Participation in a long case practice session each Tuesdays (taking turn 
among BPT, RMO and Interns) and other education sessions listed in the 
time- table 
• Participation in departmental Research and/or Quality Improvement projects 
 
Day unit and clinic patient review: 
• To assess fitness for systemic therapy. 
• To assess symptoms and side effects of treatment.  
• To address new concerns.  
• To assess for treatment response-  
o tumour markers,",984
medical_oncology_handbook_june_2020_edition.pdf_17,medical_oncology_handbook_june_2020_edition.pdf,"• To address new concerns.  
• To assess for treatment response-  
o tumour markers, 
o scans- performed after 2-3 cycles.    
• To update systemic therapy scripts.",164
medical_oncology_handbook_june_2020_edition.pdf_18,medical_oncology_handbook_june_2020_edition.pdf,"9 
 
PRINCIPLES OF MANAGEMENT OF PATIENTS ON 
SYSTEMIC THERAPY 
Assessing fitness for systemic therapy 
Fitness for systemic therapy depends on many factors: 
• performance status, 
• the type and severity of side effects from previous cycles or doses, 
• blood parameters, 
• co-morbidities and 
• Patient choice 
If cure is the aim, it is usual to accept mild -to-moderate, non-life-threatening toxicities 
and continue treatment without delaying or reducing the dosage to minimise side effects. 
Sometimes it is prudent to use supportive therapy such as  G-CSF to maintain  dose 
intensity. However, in patients with incurable metastatic disease where quality of life is 
paramount, dose delays or dose reductions are necessary. 
Performance status 
This is graded using the Eastern Cooperative Oncology Group (ECOG) scale. 
 
Grade ECOG performance status 
0 Fully active, able to carry on all pre-disease performance without 
restriction.",943
medical_oncology_handbook_june_2020_edition.pdf_19,medical_oncology_handbook_june_2020_edition.pdf,"0 Fully active, able to carry on all pre-disease performance without 
restriction. 
1 Restricted in physically strenuous activity but ambulatory and able to 
carry out work of a light or sedentary nature, e.g., light house work, 
office work 
2 Ambulatory and capable of all selfcare but unable to carry out any 
work activities. Up and about more than 50% of waking hours 
3 Capable of only limited selfcare, confined to bed or chair more than 
50% of waking hours 
4 Completely disabled, cannot carry on any self-care, totally confined 
to bed or chair 
 
Usually, patients with ECOG grade > 2 are not fit for chemotherapy. The exception is 
chemotherapy-sensitive cancers such as lymphoma and small cell lung cancers. The 
decision to offer chemotherapy must be individualised , depending upon factors such as 
age of the patient, & comorbidities. For example, a young patient with metastatic breast",902
medical_oncology_handbook_june_2020_edition.pdf_20,medical_oncology_handbook_june_2020_edition.pdf,"10 
 
cancer with poor performance status could still be offered systemic treatments. Targeted 
agents and endocrine therapy are usually tolerated better than chemotherapy. 
 
Toxicity from previous cycles of systemic therapy 
Clinicians must assess whether a side effect is affecting QOL, performance status  or is 
life threatening: 
First, determine the type and severity of side effects. 
For example, in patients with early breast cancers undergoing taxane chemotherapy, mild 
peripheral neuropathy is acceptable. However, in patients undergoing fluorouracil-based 
therapy, ongoing or severe diarrhoea necessitates a dose  delay and dose reduction of 
subsequent cycles. 
Mid-cycle neutropenic fever usually requires dose reduction of the subsequent cycle 
unless the cancer is curable. If the cancer is curable or a substantial duration of remission 
is expected, prophylactic colo ny stimulating factors such as pegfilgrastim (neulasta)",944
medical_oncology_handbook_june_2020_edition.pdf_21,medical_oncology_handbook_june_2020_edition.pdf,"is expected, prophylactic colo ny stimulating factors such as pegfilgrastim (neulasta) 
and/or antibiotics can reduce the risk of subsequent and opportunistic infections. 
 
Next, determine the effects on important organs, such as: 
• Fertility. Discuss semen cryopreservation with men. Options for women 
should also be discussed, particularly in young women of child-bearing 
potential and where curative intention treatment is planned.  Options include 
preservation of egg, embryo and a piece of ovary is offered by some fertility 
groups. Women who wish to discuss this option should be referred to a 
fertility specialist. 
• Renal function, liver functions. 
• Cardiac function. This may affect the dosage of anthracyclines (check 
ejection fraction before treatment begins and after every 2–3 cycles) and 
trastuzumab (check ejection fraction before treatment begins and every 3 
months during therapy). 
Toxicity is graded according to NCI common terminology criteria for adverse events1.",997
medical_oncology_handbook_june_2020_edition.pdf_22,medical_oncology_handbook_june_2020_edition.pdf,"Toxicity is graded according to NCI common terminology criteria for adverse events1. 
1. Blood parameters: 
a. Requires haematological and non-haematological parameters. 
 
1 National cancer institute common toxicity criteria (CTCAE, version 4.03, June 
2010), National Institutes of Health, National Cancer Institute  . 
http://ctep.cancer.gov.",345
