"Provider","PotentialFraud"
"PRV51186","No"
"PRV51189","No"
"PRV51190","No"
"PRV51191","No"
"PRV51194","No"
"PRV51196","No"
"PRV51198","No"
"PRV51200","No"
"PRV51201","No"
"PRV51202","No"
"PRV51203","No"
"PRV51204","No"
"PRV51205","No"
"PRV51206","No"
"PRV51207","No"
"PRV51209","No"
"PRV51210","No"
"PRV51211","No"
"PRV51212","No"
"PRV51213","No"
"PRV51214","No"
"PRV51215","No"
"PRV51216","No"
"PRV51217","No"
"PRV51218","No"
"PRV51219","No"
"PRV51221","No"
"PRV51222","No"
"PRV51224","No"
"PRV51225","No"
"PRV51226","No"
"PRV51228","No"
"PRV51229","No"
"PRV51230","No"
"PRV51231","No"
"PRV51232","No"
"PRV51233","No"
"PRV51234","No"
"PRV51235","No"
"PRV51236","No"
"PRV51237","No"
"PRV51238","No"
"PRV51239","No"
"PRV51240","No"
"PRV51241","No"
"PRV51242","Yes"
"PRV51243","No"
"PRV51244","Yes"
"PRV51245","No"
"PRV51247","No"
"PRV51248","No"
"PRV51249","Yes"
"PRV51250","No"
"PRV51251","No"
"PRV51252","No"
"PRV51253","No"
"PRV51255","No"
"PRV51256","No"
"PRV51258","No"
"PRV51259","No"
"PRV51260","No"
"PRV51261","No"
"PRV51262","No"
"PRV51263","Yes"
"PRV51264","No"
"PRV51265","No"
"PRV51266","No"
"PRV51267","No"
"PRV51271","No"
"PRV51272","No"
"PRV51273","No"
"PRV51274","No"
"PRV51276","No"
"PRV51277","No"
"PRV51279","No"
"PRV51280","No"
"PRV51281","No"
"PRV51282","No"
"PRV51284","No"
"PRV51285","No"
"PRV51286","No"
"PRV51287","No"
"PRV51288","No"
"PRV51289","No"
"PRV51290","No"
"PRV51292","No"
"PRV51293","No"
"PRV51295","No"
"PRV51296","No"
"PRV51297","No"
"PRV51298","No"
"PRV51299","No"
"PRV51300","No"
"PRV51301","No"
"PRV51302","No"
"PRV51303","No"
"PRV51304","No"
"PRV51305","No"
"PRV51306","No"
"PRV51307","No"
"PRV51308","No"
"PRV51309","No"
"PRV51311","No"
"PRV51312","No"
"PRV51313","No"
"PRV51314","No"
"PRV51315","No"
"PRV51316","No"
"PRV51318","No"
"PRV51322","No"
"PRV51323","No"
"PRV51324","No"
"PRV51325","No"
"PRV51326","No"
"PRV51327","No"
"PRV51328","No"
"PRV51329","No"
"PRV51330","No"
"PRV51331","No"
"PRV51334","No"
"PRV51335","No"
"PRV51336","No"
"PRV51337","Yes"
"PRV51338","Yes"
"PRV51340","No"
"PRV51341","No"
"PRV51342","No"
"PRV51344","No"
"PRV51345","No"
"PRV51346","No"
"PRV51347","Yes"
"PRV51348","No"
"PRV51349","No"
"PRV51350","No"
"PRV51351","No"
"PRV51352","No"
"PRV51353","No"
"PRV51354","No"
"PRV51355","No"
"PRV51356","No"
"PRV51357","Yes"
"PRV51358","No"
"PRV51360","No"
"PRV51361","No"
"PRV51362","No"
"PRV51363","No"
"PRV51364","No"
"PRV51366","No"
"PRV51368","No"
"PRV51369","Yes"
"PRV51371","No"
"PRV51376","No"
"PRV51377","No"
"PRV51378","Yes"
"PRV51379","No"
"PRV51380","No"
"PRV51382","No"
"PRV51383","No"
"PRV51386","No"
"PRV51387","No"
"PRV51388","No"
"PRV51389","No"
"PRV51390","Yes"
"PRV51391","No"
"PRV51392","No"
"PRV51393","Yes"
"PRV51394","No"
"PRV51395","No"
"PRV51396","No"
"PRV51397","No"
"PRV51398","No"
"PRV51399","Yes"
"PRV51401","Yes"
"PRV51403","No"
"PRV51404","No"
"PRV51405","No"
"PRV51406","No"
"PRV51408","No"
"PRV51409","No"
"PRV51410","Yes"
"PRV51412","No"
"PRV51414","No"
"PRV51415","No"
"PRV51416","No"
"PRV51418","No"
"PRV51419","No"
"PRV51421","Yes"
"PRV51422","No"
"PRV51423","No"
"PRV51424","No"
"PRV51425","No"
"PRV51426","Yes"
"PRV51427","No"
"PRV51428","No"
"PRV51429","No"
"PRV51430","No"
"PRV51431","No"
"PRV51432","No"
"PRV51433","Yes"
"PRV51434","Yes"
"PRV51435","No"
"PRV51436","No"
"PRV51437","No"
"PRV51438","No"
"PRV51439","No"
"PRV51440","No"
"PRV51441","No"
"PRV51442","No"
"PRV51443","No"
"PRV51444","No"
"PRV51446","No"
"PRV51447","Yes"
"PRV51448","No"
"PRV51449","No"
"PRV51451","No"
"PRV51453","No"
"PRV51454","No"
"PRV51455","No"
"PRV51456","No"
"PRV51458","No"
"PRV51459","Yes"
"PRV51460","No"
"PRV51462","No"
"PRV51464","No"
"PRV51465","No"
"PRV51466","No"
"PRV51467","No"
"PRV51468","No"
"PRV51469","No"
"PRV51470","No"
"PRV51471","Yes"
"PRV51472","No"
"PRV51474","No"
"PRV51475","No"
"PRV51476","No"
"PRV51477","No"
"PRV51478","No"
"PRV51479","No"
"PRV51480","Yes"
"PRV51482","Yes"
"PRV51483","No"
"PRV51484","No"
"PRV51486","No"
"PRV51487","No"
"PRV51488","No"
"PRV51490","Yes"
"PRV51491","No"
"PRV51492","No"
"PRV51494","No"
"PRV51495","Yes"
"PRV51496","No"
"PRV51497","No"
"PRV51499","No"
"PRV51500","No"
"PRV51501","Yes"
"PRV51502","No"
"PRV51503","No"
"PRV51504","No"
"PRV51505","No"
"PRV51507","Yes"
"PRV51508","No"
"PRV51509","No"
"PRV51510","No"
"PRV51511","No"
"PRV51514","No"
"PRV51515","No"
"PRV51516","No"
"PRV51517","No"
"PRV51518","No"
"PRV51521","No"
"PRV51522","No"
"PRV51523","No"
"PRV51525","No"
"PRV51526","No"
"PRV51527","No"
"PRV51528","No"
"PRV51529","No"
"PRV51531","No"
"PRV51532","No"
"PRV51533","No"
"PRV51534","No"
"PRV51535","No"
"PRV51536","No"
"PRV51539","Yes"
"PRV51540","No"
"PRV51541","No"
"PRV51542","Yes"
"PRV51544","No"
"PRV51546","No"
"PRV51547","No"
"PRV51549","No"
"PRV51550","No"
"PRV51551","No"
"PRV51552","No"
"PRV51553","No"
"PRV51554","No"
"PRV51555","No"
"PRV51556","No"
"PRV51557","No"
"PRV51558","No"
"PRV51560","Yes"
"PRV51562","No"
"PRV51563","No"
"PRV51564","No"
"PRV51566","No"
"PRV51567","Yes"
"PRV51568","No"
"PRV51569","No"
"PRV51570","No"
"PRV51571","No"
"PRV51572","No"
"PRV51573","No"
"PRV51574","Yes"
"PRV51576","No"
"PRV51577","No"
"PRV51578","Yes"
"PRV51579","No"
"PRV51580","No"
"PRV51582","No"
"PRV51583","No"
"PRV51584","Yes"
"PRV51585","No"
"PRV51586","Yes"
"PRV51587","No"
"PRV51588","No"
"PRV51590","Yes"
"PRV51592","No"
"PRV51593","Yes"
"PRV51595","No"
"PRV51596","No"
"PRV51598","No"
"PRV51599","No"
"PRV51600","No"
"PRV51601","No"
"PRV51602","No"
"PRV51604","Yes"
"PRV51605","No"
"PRV51606","No"
"PRV51607","No"
"PRV51608","No"
"PRV51609","No"
"PRV51610","No"
"PRV51611","No"
"PRV51612","No"
"PRV51613","No"
"PRV51614","Yes"
"PRV51616","No"
"PRV51617","No"
"PRV51618","No"
"PRV51619","No"
"PRV51620","No"
"PRV51621","No"
"PRV51622","No"
"PRV51623","No"
"PRV51624","No"
"PRV51625","No"
"PRV51626","No"
"PRV51627","No"
"PRV51628","No"
"PRV51629","No"
"PRV51630","No"
"PRV51631","No"
"PRV51632","No"
"PRV51634","No"
"PRV51635","No"
"PRV51636","No"
"PRV51637","No"
"PRV51638","No"
"PRV51639","No"
"PRV51640","No"
"PRV51641","No"
"PRV51642","No"
"PRV51644","No"
"PRV51645","No"
"PRV51647","No"
"PRV51650","No"
"PRV51652","No"
"PRV51653","No"
"PRV51654","No"
"PRV51655","No"
"PRV51656","No"
"PRV51657","No"
"PRV51658","No"
"PRV51660","No"
"PRV51661","No"
"PRV51664","No"
"PRV51665","No"
"PRV51666","No"
"PRV51668","No"
"PRV51669","No"
"PRV51670","No"
"PRV51671","No"
"PRV51672","No"
"PRV51673","No"
"PRV51674","No"
"PRV51675","No"
"PRV51676","No"
"PRV51678","No"
"PRV51679","No"
"PRV51681","No"
"PRV51682","No"
"PRV51685","No"
"PRV51687","No"
"PRV51688","No"
"PRV51689","No"
"PRV51690","No"
"PRV51691","No"
"PRV51692","No"
"PRV51693","No"
"PRV51694","No"
"PRV51695","No"
"PRV51696","No"
"PRV51697","No"
"PRV51698","No"
"PRV51699","No"
"PRV51702","No"
"PRV51703","No"
"PRV51704","No"
"PRV51705","No"
"PRV51706","No"
"PRV51707","No"
"PRV51708","No"
"PRV51709","No"
"PRV51710","No"
"PRV51711","No"
"PRV51712","No"
"PRV51713","No"
"PRV51715","No"
"PRV51716","No"
"PRV51718","No"
"PRV51719","No"
"PRV51720","No"
"PRV51721","No"
"PRV51722","No"
"PRV51723","No"
"PRV51724","No"
"PRV51725","No"
"PRV51726","No"
"PRV51727","No"
"PRV51729","No"
"PRV51731","No"
"PRV51732","No"
"PRV51733","No"
"PRV51734","No"
"PRV51735","No"
"PRV51736","No"
"PRV51737","No"
"PRV51738","No"
"PRV51739","No"
"PRV51740","No"
"PRV51741","No"
"PRV51742","No"
"PRV51743","No"
"PRV51744","No"
"PRV51745","No"
"PRV51746","No"
"PRV51747","No"
"PRV51748","No"
"PRV51749","No"
"PRV51750","No"
"PRV51751","No"
"PRV51752","No"
"PRV51753","No"
"PRV51754","No"
"PRV51755","No"
"PRV51758","No"
"PRV51759","No"
"PRV51761","No"
"PRV51762","No"
"PRV51763","No"
"PRV51764","No"
"PRV51765","No"
"PRV51766","No"
"PRV51767","No"
"PRV51769","No"
"PRV51770","No"
"PRV51771","No"
"PRV51773","No"
"PRV51774","No"
"PRV51775","No"
"PRV51776","No"
"PRV51778","No"
"PRV51779","No"
"PRV51780","No"
"PRV51781","No"
"PRV51784","No"
"PRV51786","No"
"PRV51787","No"
"PRV51788","No"
"PRV51789","No"
"PRV51790","No"
"PRV51792","No"
"PRV51793","No"
"PRV51794","No"
"PRV51795","No"
"PRV51796","No"
"PRV51797","No"
"PRV51798","No"
"PRV51799","No"
"PRV51801","No"
"PRV51802","No"
"PRV51803","No"
"PRV51805","Yes"
"PRV51806","No"
"PRV51807","No"
"PRV51809","No"
"PRV51810","No"
"PRV51811","No"
"PRV51812","No"
"PRV51813","No"
"PRV51815","No"
"PRV51816","No"
"PRV51818","Yes"
"PRV51819","No"
"PRV51820","No"
"PRV51821","No"
"PRV51822","No"
"PRV51823","No"
"PRV51824","No"
"PRV51826","Yes"
"PRV51827","No"
"PRV51828","No"
"PRV51829","No"
"PRV51830","No"
"PRV51831","No"
"PRV51833","No"
"PRV51836","Yes"
"PRV51837","No"
"PRV51838","No"
"PRV51840","Yes"
"PRV51841","No"
"PRV51842","Yes"
"PRV51843","No"
"PRV51845","No"
"PRV51846","No"
"PRV51847","No"
"PRV51848","No"
"PRV51849","No"
"PRV51851","Yes"
"PRV51852","No"
"PRV51855","No"
"PRV51856","No"
"PRV51857","Yes"
"PRV51858","No"
"PRV51859","No"
"PRV51860","No"
"PRV51861","No"
"PRV51862","No"
"PRV51863","No"
"PRV51864","No"
"PRV51865","No"
"PRV51867","No"
"PRV51868","Yes"
"PRV51869","No"
"PRV51870","No"
"PRV51871","No"
"PRV51872","No"
"PRV51873","Yes"
"PRV51874","No"
"PRV51875","No"
"PRV51876","Yes"
"PRV51877","No"
"PRV51878","No"
"PRV51879","No"
"PRV51884","No"
"PRV51885","No"
"PRV51886","No"
"PRV51887","No"
"PRV51888","No"
"PRV51889","No"
"PRV51890","No"
"PRV51891","No"
"PRV51892","No"
"PRV51894","No"
"PRV51895","No"
"PRV51896","No"
"PRV51897","No"
"PRV51898","No"
"PRV51899","No"
"PRV51901","No"
"PRV51902","No"
"PRV51905","No"
"PRV51906","No"
"PRV51908","No"
"PRV51909","No"
"PRV51910","No"
"PRV51911","No"
"PRV51913","No"
"PRV51914","No"
"PRV51915","No"
"PRV51916","No"
"PRV51917","No"
"PRV51918","No"
"PRV51919","No"
"PRV51920","Yes"
"PRV51921","No"
"PRV51922","No"
"PRV51923","No"
"PRV51924","No"
"PRV51925","No"
"PRV51926","No"
"PRV51927","No"
"PRV51928","No"
"PRV51929","No"
"PRV51930","No"
"PRV51931","No"
"PRV51932","No"
"PRV51933","No"
"PRV51934","No"
"PRV51935","No"
"PRV51936","No"
"PRV51937","No"
"PRV51938","No"
"PRV51940","Yes"
"PRV51941","No"
"PRV51942","No"
"PRV51943","No"
"PRV51944","No"
"PRV51946","No"
"PRV51947","No"
"PRV51948","Yes"
"PRV51949","No"
"PRV51950","No"
"PRV51951","Yes"
"PRV51952","No"
"PRV51954","No"
"PRV51956","No"
"PRV51957","No"
"PRV51958","No"
"PRV51959","No"
"PRV51960","No"
"PRV51961","No"
"PRV51963","No"
"PRV51964","No"
"PRV51965","No"
"PRV51966","No"
"PRV51967","No"
"PRV51968","No"
"PRV51969","No"
"PRV51970","No"
"PRV51972","No"
"PRV51973","No"
"PRV51974","No"
"PRV51976","No"
"PRV51977","No"
"PRV51978","No"
"PRV51979","Yes"
"PRV51981","No"
"PRV51983","No"
"PRV51984","No"
"PRV51987","No"
"PRV51988","No"
"PRV51989","No"
"PRV51990","No"
"PRV51991","No"
"PRV51992","No"
"PRV51993","No"
"PRV51994","No"
"PRV51995","No"
"PRV51996","No"
"PRV51998","No"
"PRV51999","No"
"PRV52001","No"
"PRV52002","Yes"
"PRV52003","No"
"PRV52004","No"
"PRV52007","No"
"PRV52008","No"
"PRV52009","No"
"PRV52010","No"
"PRV52011","No"
"PRV52012","No"
"PRV52013","No"
"PRV52014","No"
"PRV52017","No"
"PRV52019","Yes"
"PRV52020","Yes"
"PRV52021","Yes"
"PRV52022","No"
"PRV52024","No"
"PRV52025","No"
"PRV52026","No"
"PRV52027","No"
"PRV52028","No"
"PRV52029","No"
"PRV52030","Yes"
"PRV52031","No"
"PRV52032","Yes"
"PRV52037","No"
"PRV52038","No"
"PRV52039","No"
"PRV52041","Yes"
"PRV52042","No"
"PRV52044","No"
"PRV52045","Yes"
"PRV52046","No"
"PRV52047","No"
"PRV52048","No"
"PRV52049","No"
"PRV52051","No"
"PRV52052","No"
"PRV52054","No"
"PRV52055","No"
"PRV52056","No"
"PRV52057","No"
"PRV52058","No"
"PRV52059","Yes"
"PRV52061","No"
"PRV52062","No"
"PRV52063","No"
"PRV52064","Yes"
"PRV52065","Yes"
"PRV52066","Yes"
"PRV52068","No"
"PRV52069","No"
"PRV52071","No"
"PRV52072","No"
"PRV52073","No"
"PRV52074","No"
"PRV52075","No"
"PRV52076","No"
"PRV52077","Yes"
"PRV52079","No"
"PRV52081","No"
"PRV52082","No"
"PRV52084","No"
"PRV52085","No"
"PRV52087","No"
"PRV52088","No"
"PRV52089","Yes"
"PRV52090","No"
"PRV52092","No"
"PRV52094","No"
"PRV52095","No"
"PRV52097","No"
"PRV52098","No"
"PRV52099","No"
"PRV52100","Yes"
"PRV52101","No"
"PRV52102","No"
"PRV52104","No"
"PRV52105","No"
"PRV52107","No"
"PRV52109","No"
"PRV52111","No"
"PRV52112","No"
"PRV52113","No"
"PRV52114","Yes"
"PRV52115","Yes"
"PRV52118","No"
"PRV52119","Yes"
"PRV52120","Yes"
"PRV52121","No"
"PRV52122","No"
"PRV52123","Yes"
"PRV52124","Yes"
"PRV52126","No"
"PRV52127","No"
"PRV52128","No"
"PRV52129","No"
"PRV52130","No"
"PRV52131","No"
"PRV52133","No"
"PRV52135","Yes"
"PRV52136","No"
"PRV52138","No"
"PRV52140","No"
"PRV52141","No"
"PRV52142","No"
"PRV52143","No"
"PRV52144","No"
"PRV52145","No"
"PRV52146","No"
"PRV52147","Yes"
"PRV52148","No"
"PRV52149","No"
"PRV52150","No"
"PRV52151","Yes"
"PRV52152","No"
"PRV52154","No"
"PRV52155","No"
"PRV52156","No"
"PRV52157","No"
"PRV52159","No"
"PRV52160","No"
"PRV52161","No"
"PRV52162","No"
"PRV52163","No"
"PRV52165","Yes"
"PRV52166","No"
"PRV52167","No"
"PRV52168","No"
"PRV52169","No"
"PRV52170","No"
"PRV52171","No"
"PRV52173","Yes"
"PRV52174","No"
"PRV52175","No"
"PRV52176","No"
"PRV52177","No"
"PRV52178","Yes"
"PRV52179","No"
"PRV52180","No"
"PRV52181","Yes"
"PRV52182","No"
"PRV52184","No"
"PRV52185","No"
"PRV52186","No"
"PRV52187","No"
"PRV52188","No"
"PRV52189","No"
"PRV52191","No"
"PRV52192","No"
"PRV52193","No"
"PRV52195","Yes"
"PRV52196","No"
"PRV52197","No"
"PRV52199","No"
"PRV52200","No"
"PRV52201","No"
"PRV52202","No"
"PRV52204","No"
"PRV52205","No"
"PRV52206","No"
"PRV52208","No"
"PRV52209","No"
"PRV52211","No"
"PRV52212","No"
"PRV52213","No"
"PRV52214","No"
"PRV52216","No"
"PRV52217","No"
"PRV52218","No"
"PRV52219","No"
"PRV52220","No"
"PRV52221","No"
"PRV52222","No"
"PRV52224","No"
"PRV52225","No"
"PRV52226","No"
"PRV52227","No"
"PRV52228","No"
"PRV52229","No"
"PRV52230","No"
"PRV52231","No"
"PRV52232","No"
"PRV52233","No"
"PRV52235","No"
"PRV52236","No"
"PRV52237","No"
"PRV52238","No"
"PRV52240","No"
"PRV52241","No"
"PRV52242","No"
"PRV52246","No"
"PRV52247","No"
"PRV52248","No"
"PRV52249","No"
"PRV52251","No"
"PRV52252","No"
"PRV52253","No"
"PRV52254","No"
"PRV52255","No"
"PRV52256","No"
"PRV52257","No"
"PRV52260","No"
"PRV52261","No"
"PRV52262","No"
"PRV52263","No"
"PRV52264","No"
"PRV52265","No"
"PRV52266","No"
"PRV52267","No"
"PRV52271","No"
"PRV52272","No"
"PRV52273","No"
"PRV52274","No"
"PRV52275","No"
"PRV52276","No"
"PRV52278","No"
"PRV52279","No"
"PRV52280","Yes"
"PRV52281","No"
"PRV52282","No"
"PRV52283","Yes"
"PRV52284","No"
"PRV52285","No"
"PRV52286","No"
"PRV52288","No"
"PRV52289","No"
"PRV52290","No"
"PRV52291","No"
"PRV52292","Yes"
"PRV52293","No"
"PRV52294","No"
"PRV52295","No"
"PRV52296","No"
"PRV52298","No"
"PRV52299","No"
"PRV52300","No"
"PRV52302","No"
"PRV52303","No"
"PRV52304","No"
"PRV52306","No"
"PRV52307","Yes"
"PRV52308","Yes"
"PRV52309","No"
"PRV52310","No"
"PRV52311","No"
"PRV52312","No"
"PRV52313","No"
"PRV52314","No"
"PRV52315","No"
"PRV52317","No"
"PRV52318","No"
"PRV52319","No"
"PRV52320","Yes"
"PRV52321","Yes"
"PRV52323","No"
"PRV52325","Yes"
"PRV52326","No"
"PRV52328","No"
"PRV52331","No"
"PRV52332","No"
"PRV52334","No"
"PRV52335","No"
"PRV52336","No"
"PRV52337","Yes"
"PRV52340","Yes"
"PRV52341","No"
"PRV52342","No"
"PRV52343","Yes"
"PRV52344","No"
"PRV52346","No"
"PRV52347","Yes"
"PRV52348","No"
"PRV52349","No"
"PRV52350","No"
"PRV52351","No"
"PRV52352","No"
"PRV52353","No"
"PRV52354","No"
"PRV52355","No"
"PRV52356","No"
"PRV52357","No"
"PRV52358","No"
"PRV52359","No"
"PRV52361","No"
"PRV52362","No"
"PRV52365","No"
"PRV52366","No"
"PRV52367","No"
"PRV52369","No"
"PRV52371","No"
"PRV52372","No"
"PRV52373","No"
"PRV52374","No"
"PRV52377","No"
"PRV52378","No"
"PRV52380","No"
"PRV52381","No"
"PRV52383","Yes"
"PRV52384","No"
"PRV52385","No"
"PRV52386","No"
"PRV52387","No"
"PRV52389","No"
"PRV52390","No"
"PRV52391","No"
"PRV52392","No"
"PRV52393","No"
"PRV52394","No"
"PRV52395","No"
"PRV52396","Yes"
"PRV52397","No"
"PRV52398","No"
"PRV52399","No"
"PRV52400","No"
"PRV52401","No"
"PRV52402","No"
"PRV52403","No"
"PRV52404","No"
"PRV52405","No"
"PRV52406","No"
"PRV52407","No"
"PRV52408","No"
"PRV52409","No"
"PRV52410","No"
"PRV52411","No"
"PRV52412","No"
"PRV52414","No"
"PRV52415","No"
"PRV52416","No"
"PRV52417","No"
"PRV52418","No"
"PRV52419","No"
"PRV52420","Yes"
"PRV52421","No"
"PRV52422","No"
"PRV52423","No"
"PRV52425","No"
"PRV52427","No"
"PRV52431","No"
"PRV52432","No"
"PRV52433","No"
"PRV52434","No"
"PRV52435","No"
"PRV52436","No"
"PRV52437","No"
"PRV52439","No"
"PRV52440","No"
"PRV52441","No"
"PRV52443","No"
"PRV52445","Yes"
"PRV52446","No"
"PRV52448","No"
"PRV52449","No"
"PRV52450","No"
"PRV52451","No"
"PRV52452","No"
"PRV52453","No"
"PRV52454","No"
"PRV52455","No"
"PRV52456","No"
"PRV52457","No"
"PRV52458","No"
"PRV52459","No"
"PRV52460","No"
"PRV52461","No"
"PRV52462","No"
"PRV52463","No"
"PRV52464","No"
"PRV52466","No"
"PRV52467","Yes"
"PRV52468","No"
"PRV52469","No"
"PRV52470","No"
"PRV52471","No"
"PRV52472","No"
"PRV52473","No"
"PRV52474","No"
"PRV52476","No"
"PRV52478","No"
"PRV52480","No"
"PRV52482","No"
"PRV52483","No"
"PRV52484","No"
"PRV52485","No"
"PRV52486","No"
"PRV52487","No"
"PRV52488","No"
"PRV52490","No"
"PRV52491","No"
"PRV52492","No"
"PRV52493","No"
"PRV52494","No"
"PRV52495","No"
"PRV52497","Yes"
"PRV52499","No"
"PRV52500","No"
"PRV52501","No"
"PRV52502","Yes"
"PRV52503","No"
"PRV52504","Yes"
"PRV52506","No"
"PRV52507","No"
"PRV52508","No"
"PRV52509","No"
"PRV52510","No"
"PRV52511","Yes"
"PRV52512","No"
"PRV52513","No"
"PRV52514","No"
"PRV52515","No"
"PRV52517","No"
"PRV52518","No"
"PRV52519","No"
"PRV52520","No"
"PRV52521","No"
"PRV52523","No"
"PRV52525","No"
"PRV52526","No"
"PRV52527","No"
"PRV52528","No"
"PRV52529","No"
"PRV52530","No"
"PRV52531","No"
"PRV52532","No"
"PRV52533","No"
"PRV52535","No"
"PRV52536","No"
"PRV52537","No"
"PRV52539","No"
"PRV52540","No"
"PRV52541","No"
"PRV52542","No"
"PRV52543","No"
"PRV52544","No"
"PRV52545","No"
"PRV52547","No"
"PRV52548","No"
"PRV52549","No"
"PRV52551","No"
"PRV52552","No"
"PRV52553","No"
"PRV52554","No"
"PRV52555","No"
"PRV52556","No"
"PRV52557","No"
"PRV52558","No"
"PRV52559","No"
"PRV52560","No"
"PRV52561","No"
"PRV52562","No"
"PRV52563","No"
"PRV52564","No"
"PRV52565","No"
"PRV52566","No"
"PRV52567","No"
"PRV52568","No"
"PRV52570","No"
"PRV52571","No"
"PRV52572","No"
"PRV52573","No"
"PRV52574","Yes"
"PRV52575","No"
"PRV52576","No"
"PRV52577","No"
"PRV52578","Yes"
"PRV52579","No"
"PRV52580","No"
"PRV52581","No"
"PRV52582","No"
"PRV52583","No"
"PRV52584","No"
"PRV52586","No"
"PRV52587","No"
"PRV52588","No"
"PRV52589","Yes"
"PRV52590","Yes"
"PRV52591","No"
"PRV52592","No"
"PRV52593","Yes"
"PRV52596","No"
"PRV52598","No"
"PRV52599","No"
"PRV52602","No"
"PRV52604","No"
"PRV52605","No"
"PRV52606","No"
"PRV52607","No"
"PRV52608","No"
"PRV52609","Yes"
"PRV52610","No"
"PRV52611","No"
"PRV52614","No"
"PRV52615","No"
"PRV52616","No"
"PRV52617","No"
"PRV52621","No"
"PRV52622","No"
"PRV52623","No"
"PRV52626","No"
"PRV52627","No"
"PRV52628","Yes"
"PRV52629","No"
"PRV52630","Yes"
"PRV52631","No"
"PRV52633","No"
"PRV52634","No"
"PRV52636","No"
"PRV52638","No"
"PRV52639","No"
"PRV52640","No"
"PRV52641","No"
"PRV52642","Yes"
"PRV52643","No"
"PRV52644","No"
"PRV52645","No"
"PRV52646","No"
"PRV52647","No"
"PRV52648","Yes"
"PRV52649","Yes"
"PRV52651","No"
"PRV52652","Yes"
"PRV52653","No"
"PRV52654","No"
"PRV52656","No"
"PRV52657","No"
"PRV52658","No"
"PRV52659","No"
"PRV52660","No"
"PRV52661","No"
"PRV52662","No"
"PRV52663","No"
"PRV52665","No"
"PRV52666","No"
"PRV52667","No"
"PRV52668","No"
"PRV52669","No"
"PRV52670","No"
"PRV52671","No"
"PRV52672","No"
"PRV52673","No"
"PRV52674","No"
"PRV52676","No"
"PRV52677","No"
"PRV52678","No"
"PRV52679","No"
"PRV52681","No"
"PRV52683","No"
"PRV52684","No"
"PRV52686","No"
"PRV52687","No"
"PRV52688","No"
"PRV52689","No"
"PRV52690","Yes"
"PRV52691","No"
"PRV52692","No"
"PRV52693","No"
"PRV52694","No"
"PRV52695","No"
"PRV52696","No"
"PRV52697","No"
"PRV52698","No"
"PRV52699","No"
